horizon,altman_zdp_test_roc_auc,best_ml_test_roc_auc,above_chance,below_best_ml
1,0.8450366961064809,0.894788168097193,True,True
2,0.8298775715850464,0.9043894728778773,True,True
3,0.8224357770780979,0.9031663729936356,True,True
4,0.8122455435995191,0.8949687004843792,True,True
