arch,pr_auc_mean,pr_auc_std,altman_zdp_pr_auc,beats_altman
bilstm,0.035269859514811944,0.0067086730583935566,0.0304935506608605,True
cnn_lstm_attn,0.043957988771362616,0.0059863391432279775,0.0304935506608605,True
lstm,0.03900840511534466,0.009311082251849253,0.0304935506608605,True
transformer,0.069234630757592,0.01217928859378986,0.0304935506608605,True
