trial,model,n_components,gamma,alpha,val_pr_auc,seconds,is_default
0,svm_rbf,256,0.001,1e-05,0.024293102061768265,4.6115738000080455,True
1,svm_rbf,512,0.026623054261608093,1.3553376105961495e-05,0.01985097533627353,4.3374172000039835,False
2,svm_rbf,128,0.00023437676426833995,2.3319964098159124e-07,0.014751985814765268,1.463576899986947,False
3,svm_rbf,128,0.0001442923443866321,0.00031891420614307825,0.023212466418120928,1.2899250999907963,False
4,svm_rbf,512,0.003283740010313646,1.1227362110080574e-06,0.01945169248768546,4.6467575000133365,False
5,svm_rbf,256,0.0017391605717450665,0.00014343243086330218,0.030183710742473602,3.6690741000056732,False
6,svm_rbf,256,0.0005073942345981978,0.00026479368529597127,0.02879762576759184,2.067417199985357,False
7,svm_rbf,128,0.005684226629125955,0.00021433714952046005,0.026830191403686712,1.6715486000175588,False
8,svm_rbf,128,0.04106344973847806,9.794608404788753e-07,0.0065419049770679034,2.39234699998633,False
9,svm_rbf,128,0.00013762356472092567,3.8954641734724856e-05,0.025355132991414224,2.10961959999986,False
10,svm_rbf,256,0.07700538565070857,3.8068462564065858e-06,0.011571642077588557,8.474295299994992,False
11,svm_rbf,256,0.0006827089960916017,7.75814764386332e-07,0.005330416758354113,1.8864391000242904,False
12,svm_rbf,512,0.039974907060172364,9.004942507682611e-06,0.007349541694160521,14.509500300016953,False
13,svm_rbf,512,0.0007240128282665165,6.712150691649603e-05,0.03101287120341382,7.5281695000012405,False
14,svm_rbf,128,0.0009890524983023718,1.0781580861319985e-07,0.012971277867419903,2.324551199999405,False
15,svm_rbf,512,0.0015745272725595698,1.365761371232184e-06,0.02055463664702483,4.778127800003858,False
16,svm_rbf,128,0.0011007808095631697,1.6389844615307802e-06,0.0053267020986344235,1.1105548000195995,False
17,svm_rbf,128,0.03102658487345214,0.0007707598738079134,0.016405569451491197,1.2868813000095543,False
18,svm_rbf,512,0.0025984021239363075,1.1370773634955702e-06,0.01911748950620536,4.915394600015134,False
19,svm_rbf,512,0.00023322445270275303,1.1608187830566494e-07,0.01645381546952383,7.234802200022386,False
20,svm_rbf,128,0.01591267845162344,4.182348088142934e-06,0.01948505658027562,2.0000472999818157,False
21,svm_rbf,512,0.0023468895651074058,0.00034205534934475404,0.033017426786178576,4.732090399978915,False
22,svm_rbf,256,0.0010298048449119705,1.0939114051296198e-06,0.0062556718580946856,1.8905106000020169,False
23,svm_rbf,128,0.02801963401094016,7.004698255143189e-07,0.005548636729926952,1.8569524000049569,False
24,svm_rbf,256,0.013760761930185784,4.366388080690396e-06,0.008603448435110723,4.490798899991205,False
25,svm_rbf,512,0.0001882548859797754,2.7257710800589475e-06,0.02073158401938014,7.773900200001663,False
26,svm_rbf,256,0.0007338316046813843,4.7595576645717023e-07,0.014284622785609638,2.5218191999883857,False
27,svm_rbf,512,0.07177915114668257,0.00016828716997794807,0.018116338402750135,4.516847899998538,False
28,svm_rbf,512,0.0004169804843002531,1.4112533636292559e-05,0.02935393428045191,8.580373400007375,False
29,svm_rbf,512,0.004283598448312287,9.156392629328054e-06,0.02540104457502344,4.942153699987102,False
