trial,model,C,val_pr_auc,seconds,is_default
0,logreg,1.0,0.1113079991281858,0.028468400007113814,True
1,logreg,0.00010433015975560071,0.07910574902531409,0.008449899993138388,False
2,logreg,7.087870182165282,0.12543079755743788,0.04992140000103973,False
3,logreg,0.15778700589260478,0.08603523754796932,0.01794680001330562,False
4,logreg,0.0005493246762889695,0.06504943661231966,0.008118900004774332,False
5,logreg,0.00035611627027439246,0.0672277983437803,0.008484799996949732,False
6,logreg,17.647359885126413,0.13412442658562793,0.07527209998806939,False
7,logreg,0.00020820280648590456,0.07358393265220041,0.00838590000057593,False
8,logreg,18.009879132694522,0.13489563210398145,0.06970340001862496,False
9,logreg,0.10782948455334646,0.08159580742594807,0.01690679998137057,False
10,logreg,0.0037619809749245307,0.06862760338883908,0.009589300025254488,False
11,logreg,0.046483891763801424,0.07359820476536026,0.012848199985455722,False
12,logreg,0.03024679494312621,0.07153713732570754,0.011416000023018569,False
13,logreg,5.432141049817977,0.12405400295683675,0.05030049997731112,False
14,logreg,0.002574489093034908,0.06738242532900755,0.009742200025357306,False
15,logreg,13.625781988834158,0.13233743892070693,0.05968239999492653,False
16,logreg,0.0009778687002506207,0.06484460511565329,0.007777799997711554,False
17,logreg,0.32310432371264586,0.09683723229817306,0.01828889999887906,False
18,logreg,9.92307276636211,0.13066548799301536,0.057460199983324856,False
19,logreg,16.862069044245118,0.13390103888430102,0.0676445999997668,False
20,logreg,0.003065353858967016,0.06822244978739687,0.01000089998706244,False
21,logreg,0.025371639939762346,0.07083160628271877,0.012840300012612715,False
22,logreg,0.00018940245566494797,0.07520259101094029,0.009911600005580112,False
23,logreg,0.7688450484641327,0.10907303728710883,0.027255200024228543,False
24,logreg,59.29829419214348,0.14701841864756793,0.10351600000285544,False
25,logreg,0.023488106454205963,0.07086515706897072,0.0129538000037428,False
26,logreg,2.7864766711770614,0.12027346206843108,0.04071770000155084,False
27,logreg,0.004660915733444023,0.06834286612864407,0.010446000000229105,False
28,logreg,0.0021609118967459854,0.06780590371917208,0.009590700006810948,False
29,logreg,15.979931944694169,0.13352692099150362,0.07223019999219105,False
