trial,model,n_estimators,max_depth,min_samples_leaf,max_features,val_pr_auc,seconds,is_default
0,random_forest,300,,1,sqrt,0.13862126173211392,9.36844469999778,True
1,random_forest,300,6.0,5,0.3,0.08631518102256379,29.847765899990918,False
2,random_forest,300,16.0,1,sqrt,0.11617808050829588,9.863674500025809,False
3,random_forest,300,6.0,1,0.3,0.08634100057999361,31.744218999985605,False
4,random_forest,100,16.0,5,sqrt,0.1166934949557104,3.532428600010462,False
5,random_forest,200,10.0,5,0.1,0.09307054133149525,9.564228100003675,False
6,random_forest,300,,50,sqrt,0.1303067511340029,9.696830499975476,False
7,random_forest,200,,1,sqrt,0.1356784657784642,7.193394100002479,False
8,random_forest,200,16.0,20,0.3,0.10306089379875853,30.24278040000354,False
9,random_forest,100,,50,sqrt,0.12530879971760497,3.3557176000031177,False
10,random_forest,100,10.0,20,sqrt,0.10005518280599025,3.2575609000050463,False
11,random_forest,100,16.0,50,0.3,0.11112159625624772,15.39081549999537,False
12,random_forest,300,10.0,5,0.3,0.09664929546980926,42.22804349998478,False
13,random_forest,100,10.0,1,sqrt,0.09990729544897783,3.335358200012706,False
14,random_forest,100,,1,0.1,0.12812359972472426,5.783354099985445,False
15,random_forest,300,10.0,20,sqrt,0.09771838950974736,9.610484100005124,False
16,random_forest,200,6.0,50,sqrt,0.08528968415063072,5.182632400013972,False
17,random_forest,300,,1,0.1,0.13252390692114838,17.136942700017244,False
18,random_forest,300,6.0,20,sqrt,0.09177004338083405,7.429192100011278,False
19,random_forest,300,16.0,20,0.1,0.10716788669292587,15.885182400001213,False
20,random_forest,300,10.0,5,0.1,0.10112502203487374,14.834625700023025,False
21,random_forest,200,,5,0.1,0.15730544507723884,11.43298759998288,False
22,random_forest,100,10.0,1,0.1,0.09933832978415061,5.219971999991685,False
23,random_forest,300,,5,sqrt,0.16578590315921765,10.926922700018622,False
24,random_forest,200,16.0,1,0.1,0.09737976213720462,10.66640709998319,False
25,random_forest,300,16.0,5,sqrt,0.1200380470097572,10.553727199992863,False
26,random_forest,200,10.0,20,sqrt,0.09649194665944268,6.6381450999761,False
27,random_forest,200,6.0,50,0.3,0.0932511457338897,22.350319400022272,False
28,random_forest,300,,20,0.3,0.15087489243491548,49.21028749999823,False
29,random_forest,100,6.0,50,0.1,0.08420346608373498,4.02694669997436,False
