trial,model,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_pr_auc,seconds,is_default
0,xgboost,400,5,0.1,0.8,0.8,1.0,0.15745199349835873,1.5933682000031695,True
1,xgboost,600,3,0.1563627570886382,1.0,0.8,1.0,0.1786234107513394,1.4155393999972148,False
2,xgboost,200,7,0.19573283840516106,0.6,1.0,1.0,0.13394642684732402,1.1150637999962782,False
3,xgboost,200,7,0.05579819848164752,0.8,0.6,5.0,0.17694657878678363,1.1173390000039944,False
4,xgboost,400,3,0.1464494438755189,0.8,1.0,1.0,0.18560606070887803,1.0103940999979386,False
5,xgboost,400,7,0.01753049073724252,0.8,0.8,5.0,0.2062483204957659,2.324033999990206,False
6,xgboost,600,3,0.02322480192467465,1.0,0.6,5.0,0.19995540673891765,1.383715799995116,False
7,xgboost,400,3,0.0904987372297764,1.0,1.0,20.0,0.215452883984896,0.9461902000039117,False
8,xgboost,400,5,0.025748724747099185,1.0,0.6,1.0,0.19748823941294122,1.5268654000101378,False
9,xgboost,200,7,0.05269280720946244,1.0,0.6,5.0,0.17088701612167018,1.1298720999911893,False
10,xgboost,200,7,0.030904369108095374,1.0,0.8,1.0,0.18914508356147444,1.3977122000069357,False
11,xgboost,600,3,0.03885485825955104,0.8,0.6,1.0,0.22224421543293507,1.4899970999977086,False
12,xgboost,400,3,0.10592725281577631,0.6,1.0,20.0,0.23525598681194437,1.049614899995504,False
13,xgboost,600,7,0.04972379635300668,0.6,0.6,20.0,0.15089764121695454,2.784853999997722,False
14,xgboost,200,7,0.010566136766370391,0.6,1.0,20.0,0.09134200377717533,1.2179067999968538,False
15,xgboost,400,5,0.04864843549260767,0.8,0.8,5.0,0.21717755286465,1.6509826999972574,False
16,xgboost,600,5,0.02419221616392644,0.8,0.6,5.0,0.21914230528584774,2.3718540999980178,False
17,xgboost,600,7,0.020520393025221243,0.8,1.0,1.0,0.17516567946754433,3.9458827000053134,False
18,xgboost,400,7,0.013654564244977357,0.8,0.8,5.0,0.18382757318224102,2.6060189999989234,False
19,xgboost,600,3,0.017791477017917574,1.0,1.0,20.0,0.2091669291816731,1.532926400002907,False
20,xgboost,600,7,0.020198945998003114,1.0,1.0,5.0,0.18674175718909045,3.871424600001774,False
21,xgboost,600,5,0.06360039272230424,0.6,0.8,5.0,0.16433782717016068,2.5659329000045545,False
22,xgboost,600,7,0.01931752132583908,0.8,0.6,1.0,0.1809056721846501,3.8311788999999408,False
23,xgboost,400,5,0.01281202683224047,1.0,0.8,1.0,0.18044912529100407,1.8595410999987507,False
24,xgboost,600,5,0.10899272116649625,0.8,0.6,5.0,0.17157784776699941,2.3872346999996807,False
25,xgboost,400,5,0.10799743072226171,1.0,0.6,20.0,0.19485828557538817,1.54125059999933,False
26,xgboost,600,7,0.0760433261794055,1.0,0.8,5.0,0.15458358741946102,2.994838400001754,False
27,xgboost,200,5,0.012551908012962186,0.8,1.0,20.0,0.15874399298138975,1.0041339000017615,False
28,xgboost,400,3,0.01648734170950757,0.8,0.6,20.0,0.16057961057452072,1.131431200003135,False
29,xgboost,600,3,0.050733340929487065,1.0,1.0,20.0,0.24491415962300492,1.604108700004872,False
