trial,model,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_pr_auc,seconds,is_default
0,xgboost,400,5,0.1,0.8,0.8,1.0,0.15925287816834238,4.432614799996372,True
1,xgboost,600,3,0.1563627570886382,1.0,0.8,1.0,0.17470421016178447,3.514295399974799,False
2,xgboost,200,7,0.19573283840516106,0.6,1.0,1.0,0.10973942920197134,3.0379088999761734,False
3,xgboost,200,7,0.05579819848164752,0.8,0.6,5.0,0.23183128664531016,3.1868295000167564,False
4,xgboost,400,3,0.1464494438755189,0.8,1.0,1.0,0.18179146640417582,2.9811684000014793,False
5,xgboost,400,7,0.01753049073724252,0.8,0.8,5.0,0.1889914869205017,7.480819499993231,False
6,xgboost,600,3,0.02322480192467465,1.0,0.6,5.0,0.18308179565488766,3.856455399974948,False
7,xgboost,400,3,0.0904987372297764,1.0,1.0,20.0,0.2109680163577736,2.8504267999960575,False
8,xgboost,400,5,0.025748724747099185,1.0,0.6,1.0,0.19456837957814,4.861403999995673,False
9,xgboost,200,7,0.05269280720946244,1.0,0.6,5.0,0.21944118838574458,3.7186998999968637,False
10,xgboost,200,7,0.030904369108095374,1.0,0.8,1.0,0.1793387394660332,4.900861800007988,False
11,xgboost,600,3,0.03885485825955104,0.8,0.6,1.0,0.19163781203392033,4.545885500003351,False
12,xgboost,400,3,0.10592725281577631,0.6,1.0,20.0,0.22928835223760569,3.384337700001197,False
13,xgboost,600,7,0.04972379635300668,0.6,0.6,20.0,0.17765005200355838,8.710770300007425,False
14,xgboost,200,7,0.010566136766370391,0.6,1.0,20.0,0.11752318891130888,4.489020700013498,False
15,xgboost,400,5,0.04864843549260767,0.8,0.8,5.0,0.1823362416857844,5.818799500004388,False
16,xgboost,600,5,0.02419221616392644,0.8,0.6,5.0,0.24951302435092032,8.215340299997479,False
17,xgboost,600,7,0.020520393025221243,0.8,1.0,1.0,0.21206884889220567,15.533135100005893,False
18,xgboost,400,7,0.013654564244977357,0.8,0.8,5.0,0.18927733820083611,9.699329300026875,False
19,xgboost,600,3,0.017791477017917574,1.0,1.0,20.0,0.20804148877967688,5.2574164000106975,False
20,xgboost,600,7,0.020198945998003114,1.0,1.0,5.0,0.20753208476354612,14.52914719999535,False
21,xgboost,600,5,0.06360039272230424,0.6,0.8,5.0,0.16283930266124438,8.492203900008462,False
22,xgboost,600,7,0.01931752132583908,0.8,0.6,1.0,0.1963330873054006,12.78384809999261,False
23,xgboost,400,5,0.01281202683224047,1.0,0.8,1.0,0.1901085917157162,6.6755794000055175,False
24,xgboost,600,5,0.10899272116649625,0.8,0.6,5.0,0.24993231385017156,9.26594230000046,False
25,xgboost,400,5,0.10799743072226171,1.0,0.6,20.0,0.14919167561890836,5.360822399990866,False
26,xgboost,600,7,0.0760433261794055,1.0,0.8,5.0,0.16604310294315597,10.834351400000742,False
27,xgboost,200,5,0.012551908012962186,0.8,1.0,20.0,0.17835707219037855,3.6014641000074334,False
28,xgboost,400,3,0.01648734170950757,0.8,0.6,20.0,0.1956152911968341,4.336190000001807,False
29,xgboost,600,3,0.050733340929487065,1.0,1.0,20.0,0.23514338778156757,6.211263700010022,False
