trial,model,n_components,gamma,alpha,val_pr_auc,seconds,is_default
0,svm_rbf,256,0.001,1e-05,0.010132154000097452,3.2465441999956965,True
1,svm_rbf,512,0.026623054261608093,1.3553376105961495e-05,0.0043541060324287836,6.04698450001888,False
2,svm_rbf,128,0.00023437676426833995,2.3319964098159124e-07,0.00215930919347985,2.0223836000077426,False
3,svm_rbf,128,0.0001442923443866321,0.00031891420614307825,0.012690987190215643,2.3685928000195418,False
4,svm_rbf,512,0.003283740010313646,1.1227362110080574e-06,0.008295701856027541,5.45055360000697,False
5,svm_rbf,256,0.0017391605717450665,0.00014343243086330218,0.018583147306382983,2.3261627000174485,False
6,svm_rbf,256,0.0005073942345981978,0.00026479368529597127,0.014554757923146009,2.220906299975468,False
7,svm_rbf,128,0.005684226629125955,0.00021433714952046005,0.013996543005818877,1.3349537000176497,False
8,svm_rbf,128,0.04106344973847806,9.794608404788753e-07,0.002421121749486123,2.6327312999928836,False
9,svm_rbf,128,0.00013762356472092567,3.8954641734724856e-05,0.018703510381272284,1.8438734999799635,False
10,svm_rbf,256,0.07700538565070857,3.8068462564065858e-06,0.0027090002182491423,3.8683365000179037,False
11,svm_rbf,256,0.0006827089960916017,7.75814764386332e-07,0.009015492176113938,2.4437727999757044,False
12,svm_rbf,512,0.039974907060172364,9.004942507682611e-06,0.009202652907368566,7.165449299995089,False
13,svm_rbf,512,0.0007240128282665165,6.712150691649603e-05,0.02136506624946674,6.911125000013271,False
14,svm_rbf,128,0.0009890524983023718,1.0781580861319985e-07,0.003973224415286869,1.3746320999925956,False
15,svm_rbf,512,0.0015745272725595698,1.365761371232184e-06,0.002383733440512658,5.128821499994956,False
16,svm_rbf,128,0.0011007808095631697,1.6389844615307802e-06,0.001983170299948132,0.9612114999908954,False
17,svm_rbf,128,0.03102658487345214,0.0007707598738079134,0.009884565795274854,1.2316099000163376,False
18,svm_rbf,512,0.0025984021239363075,1.1370773634955702e-06,0.005926982111160223,3.7247753999836277,False
19,svm_rbf,512,0.00023322445270275303,1.1608187830566494e-07,0.014332929214029743,4.652730100002373,False
20,svm_rbf,128,0.01591267845162344,4.182348088142934e-06,0.005457597194217959,1.5866523000004236,False
21,svm_rbf,512,0.0023468895651074058,0.00034205534934475404,0.01921290103153822,3.7973725000047125,False
22,svm_rbf,256,0.0010298048449119705,1.0939114051296198e-06,0.0034192003669929337,2.435744499991415,False
23,svm_rbf,128,0.02801963401094016,7.004698255143189e-07,0.0031939304846536577,2.0832286000077147,False
24,svm_rbf,256,0.013760761930185784,4.366388080690396e-06,0.013256056505112798,3.2176037000026554,False
25,svm_rbf,512,0.0001882548859797754,2.7257710800589475e-06,0.009889526488809417,6.276217899983749,False
26,svm_rbf,256,0.0007338316046813843,4.7595576645717023e-07,0.010102911992460297,1.6831767999974545,False
27,svm_rbf,512,0.07177915114668257,0.00016828716997794807,0.010277485911085318,4.768152299977373,False
28,svm_rbf,512,0.0004169804843002531,1.4112533636292559e-05,0.010915331739407988,3.613387799996417,False
29,svm_rbf,512,0.004283598448312287,9.156392629328054e-06,0.009359795676731966,3.9575889999978244,False
