trial,model,n_estimators,max_depth,min_samples_leaf,max_features,val_pr_auc,seconds,is_default
0,random_forest,300,,1,sqrt,0.1337949659502694,9.987975500000175,True
1,random_forest,300,6.0,5,0.3,0.10020396507918089,29.42017970001325,False
2,random_forest,300,16.0,1,sqrt,0.14286737645017245,10.391130600008182,False
3,random_forest,300,6.0,1,0.3,0.09845301391740946,31.24671110001509,False
4,random_forest,100,16.0,5,sqrt,0.11229715029306532,3.792247100005625,False
5,random_forest,200,10.0,5,0.1,0.10392773856918859,9.949930400005542,False
6,random_forest,300,,50,sqrt,0.14765352423596345,10.306074499996612,False
7,random_forest,200,,1,sqrt,0.13546254126640395,7.675909999990836,False
8,random_forest,200,16.0,20,0.3,0.11411894384893151,32.24828709999565,False
9,random_forest,100,,50,sqrt,0.13445919017560992,3.5929550000000745,False
10,random_forest,100,10.0,20,sqrt,0.1123111336066004,3.4442481999867596,False
11,random_forest,100,16.0,50,0.3,0.14878342585384796,16.39730550002423,False
12,random_forest,300,10.0,5,0.3,0.12146942548668983,44.45675349998055,False
13,random_forest,100,10.0,1,sqrt,0.11477486960434999,3.467721299995901,False
14,random_forest,100,,1,0.1,0.11167675128954378,6.237094900017837,False
15,random_forest,300,10.0,20,sqrt,0.12422565937081403,10.237587100011297,False
16,random_forest,200,6.0,50,sqrt,0.10275943822715335,5.365619400021387,False
17,random_forest,300,,1,0.1,0.13091690887086843,18.26700710001751,False
18,random_forest,300,6.0,20,sqrt,0.10585964064680795,7.7775377000216395,False
19,random_forest,300,16.0,20,0.1,0.12494387240969197,16.553192400024273,False
20,random_forest,300,10.0,5,0.1,0.10499654155475414,15.57172880001599,False
21,random_forest,200,,5,0.1,0.17088412709267356,12.02564729997539,False
22,random_forest,100,10.0,1,0.1,0.09427869686602272,5.395119399996474,False
23,random_forest,300,,5,sqrt,0.18372658920211152,11.748461999988649,False
24,random_forest,200,16.0,1,0.1,0.13084985478191835,11.408359500026563,False
25,random_forest,300,16.0,5,sqrt,0.12625363313838134,10.931634500011569,False
26,random_forest,200,10.0,20,sqrt,0.11526529577844491,6.920801700005541,False
27,random_forest,200,6.0,50,0.3,0.10169423592737005,22.366976499994053,False
28,random_forest,300,,20,0.3,0.16943497081767223,52.70422079999116,False
29,random_forest,100,6.0,50,0.1,0.08804392612090464,3.9687213999859523,False
