trial,model,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_pr_auc,seconds,is_default
0,xgboost,400,5,0.1,0.8,0.8,1.0,0.09400088174374975,0.8881421000114642,True
1,xgboost,600,3,0.1563627570886382,1.0,0.8,1.0,0.10120226865917793,0.7987158999894746,False
2,xgboost,200,7,0.19573283840516106,0.6,1.0,1.0,0.07379997658662961,0.7555769000027794,False
3,xgboost,200,7,0.05579819848164752,0.8,0.6,5.0,0.08766447315901496,0.7023368999944068,False
4,xgboost,400,3,0.1464494438755189,0.8,1.0,1.0,0.07458193564879043,0.5818577999889385,False
5,xgboost,400,7,0.01753049073724252,0.8,0.8,5.0,0.10398476783853709,1.4131959000078496,False
6,xgboost,600,3,0.02322480192467465,1.0,0.6,5.0,0.0748970093992158,0.8388907999906223,False
7,xgboost,400,3,0.0904987372297764,1.0,1.0,20.0,0.09068033747414748,0.5266154000128154,False
8,xgboost,400,5,0.025748724747099185,1.0,0.6,1.0,0.10321398075622351,0.8704593000002205,False
9,xgboost,200,7,0.05269280720946244,1.0,0.6,5.0,0.08546300371410528,0.679128399991896,False
10,xgboost,200,7,0.030904369108095374,1.0,0.8,1.0,0.10462714721731488,0.7424933999718633,False
11,xgboost,600,3,0.03885485825955104,0.8,0.6,1.0,0.08792875385910438,0.8881690000125673,False
12,xgboost,400,3,0.10592725281577631,0.6,1.0,20.0,0.07540409026851329,0.5774413000035565,False
13,xgboost,600,7,0.04972379635300668,0.6,0.6,20.0,0.11873469765552672,1.9075460999738425,False
14,xgboost,200,7,0.010566136766370391,0.6,1.0,20.0,0.0910251175380885,0.7459858999936841,False
15,xgboost,400,5,0.04864843549260767,0.8,0.8,5.0,0.10489849857891675,0.9698898000060581,False
16,xgboost,600,5,0.02419221616392644,0.8,0.6,5.0,0.10114676725352183,1.3161997999995947,False
17,xgboost,600,7,0.020520393025221243,0.8,1.0,1.0,0.10755813677543144,2.0631996000010986,False
18,xgboost,400,7,0.013654564244977357,0.8,0.8,5.0,0.09547619468855136,1.3836469000088982,False
19,xgboost,600,3,0.017791477017917574,1.0,1.0,20.0,0.07405237020798963,0.7581168999895453,False
20,xgboost,600,7,0.020198945998003114,1.0,1.0,5.0,0.10833765440187136,1.926072700007353,False
21,xgboost,600,5,0.06360039272230424,0.6,0.8,5.0,0.11322783398604212,1.3433589000196662,False
22,xgboost,600,7,0.01931752132583908,0.8,0.6,1.0,0.09450926738394087,1.9519916000135709,False
23,xgboost,400,5,0.01281202683224047,1.0,0.8,1.0,0.08279812722503475,0.8611448000010569,False
24,xgboost,600,5,0.10899272116649625,0.8,0.6,5.0,0.09478257677194661,1.298097399994731,False
25,xgboost,400,5,0.10799743072226171,1.0,0.6,20.0,0.09748165785217738,0.8384022999962326,False
26,xgboost,600,7,0.0760433261794055,1.0,0.8,5.0,0.11169942320392504,1.838371999998344,False
27,xgboost,200,5,0.012551908012962186,0.8,1.0,20.0,0.07741169195272178,0.492455700004939,False
28,xgboost,400,3,0.01648734170950757,0.8,0.6,20.0,0.070287524866908,0.5888770000019576,False
29,xgboost,600,3,0.050733340929487065,1.0,1.0,20.0,0.09511604257164377,0.7508821999945212,False
