trial,model,n_components,gamma,alpha,val_pr_auc,seconds,is_default
0,svm_rbf,256,0.001,1e-05,0.02577740332546516,5.6069887000194285,True
1,svm_rbf,512,0.026623054261608093,1.3553376105961495e-05,0.03225249860863772,8.412645400007023,False
2,svm_rbf,128,0.00023437676426833995,2.3319964098159124e-07,0.015215631417984956,2.7937141000002157,False
3,svm_rbf,128,0.0001442923443866321,0.00031891420614307825,0.02547807027060895,1.811408300010953,False
4,svm_rbf,512,0.003283740010313646,1.1227362110080574e-06,0.02080702875944755,7.290121800004272,False
5,svm_rbf,256,0.0017391605717450665,0.00014343243086330218,0.03285808981418894,2.817412400007015,False
6,svm_rbf,256,0.0005073942345981978,0.00026479368529597127,0.030778120882052243,2.9193725000077393,False
7,svm_rbf,128,0.005684226629125955,0.00021433714952046005,0.03114568444909453,1.6746383999998216,False
8,svm_rbf,128,0.04106344973847806,9.794608404788753e-07,0.009638131237436825,4.664438199979486,False
9,svm_rbf,128,0.00013762356472092567,3.8954641734724856e-05,0.02772637186148545,2.6496570000017527,False
10,svm_rbf,256,0.07700538565070857,3.8068462564065858e-06,0.019514608055358724,7.79237439998542,False
11,svm_rbf,256,0.0006827089960916017,7.75814764386332e-07,0.009189874380156797,4.458428400015691,False
12,svm_rbf,512,0.039974907060172364,9.004942507682611e-06,0.02611843920873342,8.55841430000146,False
13,svm_rbf,512,0.0007240128282665165,6.712150691649603e-05,0.03313144687429952,7.0222477999923285,False
14,svm_rbf,128,0.0009890524983023718,1.0781580861319985e-07,0.01753625782345491,1.8390055000199936,False
15,svm_rbf,512,0.0015745272725595698,1.365761371232184e-06,0.02165338958185154,7.708437700028298,False
16,svm_rbf,128,0.0011007808095631697,1.6389844615307802e-06,0.021350450327576896,2.8030932000256144,False
17,svm_rbf,128,0.03102658487345214,0.0007707598738079134,0.023938080189616014,1.0318416000227444,False
18,svm_rbf,512,0.0025984021239363075,1.1370773634955702e-06,0.022046535785261726,5.983219299989287,False
19,svm_rbf,512,0.00023322445270275303,1.1608187830566494e-07,0.01264409626448196,8.41013419997762,False
20,svm_rbf,128,0.01591267845162344,4.182348088142934e-06,0.022488464907684885,3.2986280000186525,False
21,svm_rbf,512,0.0023468895651074058,0.00034205534934475404,0.0386155178378101,4.948966500000097,False
22,svm_rbf,256,0.0010298048449119705,1.0939114051296198e-06,0.006720680117086278,4.418382700008806,False
23,svm_rbf,128,0.02801963401094016,7.004698255143189e-07,0.009701267797861759,3.3255462999804877,False
24,svm_rbf,256,0.013760761930185784,4.366388080690396e-06,0.010726142395008086,4.162690299999667,False
25,svm_rbf,512,0.0001882548859797754,2.7257710800589475e-06,0.024899736227487514,8.267251900018891,False
26,svm_rbf,256,0.0007338316046813843,4.7595576645717023e-07,0.009015693575582306,4.619953300018096,False
27,svm_rbf,512,0.07177915114668257,0.00016828716997794807,0.02487210281355749,5.605765199987218,False
28,svm_rbf,512,0.0004169804843002531,1.4112533636292559e-05,0.03258356847030645,10.144100899982732,False
29,svm_rbf,512,0.004283598448312287,9.156392629328054e-06,0.03927909596530612,8.037618300004397,False
