trial,model,C,val_pr_auc,seconds,is_default
0,logreg,1.0,0.27116933199897747,0.041432500001974404,True
1,logreg,0.00010433015975560071,0.34746198262665057,0.009815099998377264,False
2,logreg,7.087870182165282,0.27624993581084756,0.06799599999794737,False
3,logreg,0.15778700589260478,0.30126108317426753,0.025144700019154698,False
4,logreg,0.0005493246762889695,0.3465565779198042,0.010630900011165068,False
5,logreg,0.00035611627027439246,0.34507858625524473,0.01040230001672171,False
6,logreg,17.647359885126413,0.2711070776020034,0.07808839998324402,False
7,logreg,0.00020820280648590456,0.3459035811892458,0.010543700016569346,False
8,logreg,18.009879132694522,0.27373174543420864,0.07542720000492409,False
9,logreg,0.10782948455334646,0.29797961117373967,0.025260800000978634,False
10,logreg,0.0037619809749245307,0.332936756149863,0.014069600001676008,False
11,logreg,0.046483891763801424,0.30247597177304136,0.019133900001179427,False
12,logreg,0.03024679494312621,0.3020583704863343,0.018404899979941547,False
13,logreg,5.432141049817977,0.2751935780980906,0.08125340001424775,False
14,logreg,0.002574489093034908,0.33826125979726224,0.013049300003331155,False
15,logreg,13.625781988834158,0.2754558711719318,0.08146370001486503,False
16,logreg,0.0009778687002506207,0.34641778091066416,0.015405899990582839,False
17,logreg,0.32310432371264586,0.29531447960592916,0.02906329999677837,False
18,logreg,9.92307276636211,0.274824982083677,0.07071140001062304,False
19,logreg,16.862069044245118,0.27257274401245507,0.08068700000876561,False
20,logreg,0.003065353858967016,0.33737106897309743,0.013443000003462657,False
21,logreg,0.025371639939762346,0.30291789188753426,0.01639069998054765,False
22,logreg,0.00018940245566494797,0.34488538858037676,0.012160499987658113,False
23,logreg,0.7688450484641327,0.2762266844515863,0.03602120000869036,False
24,logreg,59.29829419214348,0.28097973779661767,0.11680809999234043,False
25,logreg,0.023488106454205963,0.30511426816809634,0.018231599999126047,False
26,logreg,2.7864766711770614,0.27342337534056094,0.055817399988882244,False
27,logreg,0.004660915733444023,0.3330132445662301,0.014670199976535514,False
28,logreg,0.0021609118967459854,0.3382771240301021,0.013783800008241087,False
29,logreg,15.979931944694169,0.27244843089228166,0.08581690001301467,False
