trial,model,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_pr_auc,seconds,is_default
0,xgboost,400,5,0.1,0.8,0.8,1.0,0.10338589133710746,0.8980690999887884,True
1,xgboost,600,3,0.1563627570886382,1.0,0.8,1.0,0.09852101313422602,0.8137157000019215,False
2,xgboost,200,7,0.19573283840516106,0.6,1.0,1.0,0.07090113955053966,0.739423099992564,False
3,xgboost,200,7,0.05579819848164752,0.8,0.6,5.0,0.09436783575761894,0.6932171999942511,False
4,xgboost,400,3,0.1464494438755189,0.8,1.0,1.0,0.0817397002279341,0.5691305999935139,False
5,xgboost,400,7,0.01753049073724252,0.8,0.8,5.0,0.11079850975952948,1.445246400020551,False
6,xgboost,600,3,0.02322480192467465,1.0,0.6,5.0,0.07494301421287913,0.8311117000121158,False
7,xgboost,400,3,0.0904987372297764,1.0,1.0,20.0,0.07668279385873984,0.5174060999997891,False
8,xgboost,400,5,0.025748724747099185,1.0,0.6,1.0,0.1081623922764035,0.8815003000199795,False
9,xgboost,200,7,0.05269280720946244,1.0,0.6,5.0,0.1078288431328759,0.679559899988817,False
10,xgboost,200,7,0.030904369108095374,1.0,0.8,1.0,0.10407471698344134,0.7353184999956284,False
11,xgboost,600,3,0.03885485825955104,0.8,0.6,1.0,0.07246181987974244,0.8690448999986984,False
12,xgboost,400,3,0.10592725281577631,0.6,1.0,20.0,0.07474785959095177,0.5769281999964733,False
13,xgboost,600,7,0.04972379635300668,0.6,0.6,20.0,0.10125108992928195,1.935568399989279,False
14,xgboost,200,7,0.010566136766370391,0.6,1.0,20.0,0.08457224336085535,0.7734512999886647,False
15,xgboost,400,5,0.04864843549260767,0.8,0.8,5.0,0.10163869063063874,0.8963073999912012,False
16,xgboost,600,5,0.02419221616392644,0.8,0.6,5.0,0.08946065844179382,1.3133435000199825,False
17,xgboost,600,7,0.020520393025221243,0.8,1.0,1.0,0.10109603199666026,2.081232099997578,False
18,xgboost,400,7,0.013654564244977357,0.8,0.8,5.0,0.10437713862564132,1.4404953999910504,False
19,xgboost,600,3,0.017791477017917574,1.0,1.0,20.0,0.06559873650375757,0.7707082999986596,False
20,xgboost,600,7,0.020198945998003114,1.0,1.0,5.0,0.12240869978720305,1.9832673000055365,False
21,xgboost,600,5,0.06360039272230424,0.6,0.8,5.0,0.09935265418410207,1.382605099992361,False
22,xgboost,600,7,0.01931752132583908,0.8,0.6,1.0,0.09797338710508095,2.023715200019069,False
23,xgboost,400,5,0.01281202683224047,1.0,0.8,1.0,0.08998497320907047,0.8907843999913894,False
24,xgboost,600,5,0.10899272116649625,0.8,0.6,5.0,0.09924061498256836,1.3532418000104371,False
25,xgboost,400,5,0.10799743072226171,1.0,0.6,20.0,0.11810846766265695,0.8482793000002857,False
26,xgboost,600,7,0.0760433261794055,1.0,0.8,5.0,0.09771625030615513,2.015018100006273,False
27,xgboost,200,5,0.012551908012962186,0.8,1.0,20.0,0.0642324989497995,0.48494269998627715,False
28,xgboost,400,3,0.01648734170950757,0.8,0.6,20.0,0.06246170076317711,0.6081761000095867,False
29,xgboost,600,3,0.050733340929487065,1.0,1.0,20.0,0.07849934786711332,0.7949977999960538,False
