trial,model,C,val_pr_auc,seconds,is_default
0,logreg,1.0,0.0320312601458461,1.5232915000233334,True
1,logreg,0.00010433015975560071,0.025722198571519944,0.30848779997904785,False
2,logreg,7.087870182165282,0.032064903769540076,1.733038000005763,False
3,logreg,0.15778700589260478,0.03161583063882309,1.3439191000070423,False
4,logreg,0.0005493246762889695,0.028800741197999098,0.4243434999953024,False
5,logreg,0.00035611627027439246,0.02834587170199507,0.39761370001360774,False
6,logreg,17.647359885126413,0.03205833248820398,1.6389936999767087,False
7,logreg,0.00020820280648590456,0.027586733300966927,0.36608230002457276,False
8,logreg,18.009879132694522,0.03204717450486864,1.7264960999891628,False
9,logreg,0.10782948455334646,0.031474262625852525,1.2827757000050042,False
10,logreg,0.0037619809749245307,0.029717180466244286,0.6207281000097282,False
11,logreg,0.046483891763801424,0.030973249493077615,1.2114498000009917,False
12,logreg,0.03024679494312621,0.030696163142489394,1.143348799989326,False
13,logreg,5.432141049817977,0.032044238491231426,1.6926735999877565,False
14,logreg,0.002574489093034908,0.02957632676079904,0.5901780000131112,False
15,logreg,13.625781988834158,0.03213210434139609,1.583805400005076,False
16,logreg,0.0009778687002506207,0.02921051922225579,0.45638819999294356,False
17,logreg,0.32310432371264586,0.03188114789613343,1.4508438000048045,False
18,logreg,9.92307276636211,0.032054988281070604,1.6955610000004526,False
19,logreg,16.862069044245118,0.03209924756877655,1.73749569998472,False
20,logreg,0.003065353858967016,0.0296586649083033,0.5788050999981351,False
21,logreg,0.025371639939762346,0.030481318576568776,1.023021900007734,False
22,logreg,0.00018940245566494797,0.027351482158821733,0.34369690000312403,False
23,logreg,0.7688450484641327,0.03197547480444782,1.5806987999822013,False
24,logreg,59.29829419214348,0.03208634583706827,1.7082273999985773,False
25,logreg,0.023488106454205963,0.03049244003589646,1.030032399983611,False
26,logreg,2.7864766711770614,0.03204944882350719,1.7065086000075098,False
27,logreg,0.004660915733444023,0.02985343479182869,0.6709868999896571,False
28,logreg,0.0021609118967459854,0.02950642743696688,0.5922572999843396,False
29,logreg,15.979931944694169,0.03209747782809519,1.7355467000161298,False
