trial,model,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_pr_auc,seconds,is_default
0,xgboost,400,5,0.1,0.8,0.8,1.0,0.23249576074809075,4.662492200004635,True
1,xgboost,600,3,0.1563627570886382,1.0,0.8,1.0,0.22807541452930277,3.366822299984051,False
2,xgboost,200,7,0.19573283840516106,0.6,1.0,1.0,0.22553841273987543,3.635266099998262,False
3,xgboost,200,7,0.05579819848164752,0.8,0.6,5.0,0.22846944743240943,3.573979999986477,False
4,xgboost,400,3,0.1464494438755189,0.8,1.0,1.0,0.20748999889781075,2.92170000000624,False
5,xgboost,400,7,0.01753049073724252,0.8,0.8,5.0,0.21296262693158718,8.503641299990704,False
6,xgboost,600,3,0.02322480192467465,1.0,0.6,5.0,0.17910494023699633,3.8972236000117846,False
7,xgboost,400,3,0.0904987372297764,1.0,1.0,20.0,0.1860336996849749,2.8248921999766026,False
8,xgboost,400,5,0.025748724747099185,1.0,0.6,1.0,0.21870877006159503,5.047757100022864,False
9,xgboost,200,7,0.05269280720946244,1.0,0.6,5.0,0.2935646133846855,4.139495100011118,False
10,xgboost,200,7,0.030904369108095374,1.0,0.8,1.0,0.22580031212602986,5.389313899999252,False
11,xgboost,600,3,0.03885485825955104,0.8,0.6,1.0,0.19212574393918824,4.426047099987045,False
12,xgboost,400,3,0.10592725281577631,0.6,1.0,20.0,0.16850736952368442,3.3439919000084046,False
13,xgboost,600,7,0.04972379635300668,0.6,0.6,20.0,0.25691246621975977,10.018131499993615,False
14,xgboost,200,7,0.010566136766370391,0.6,1.0,20.0,0.14091291221757904,5.291441599983955,False
15,xgboost,400,5,0.04864843549260767,0.8,0.8,5.0,0.2358080315712855,6.061672999989241,False
16,xgboost,600,5,0.02419221616392644,0.8,0.6,5.0,0.2216407551795991,8.492235000012442,False
17,xgboost,600,7,0.020520393025221243,0.8,1.0,1.0,0.22556488003266117,17.89053900001454,False
18,xgboost,400,7,0.013654564244977357,0.8,0.8,5.0,0.2247227038435157,10.9773568000237,False
19,xgboost,600,3,0.017791477017917574,1.0,1.0,20.0,0.16077269893178497,5.232106300012674,False
20,xgboost,600,7,0.020198945998003114,1.0,1.0,5.0,0.27257859249578203,16.99772959999973,False
21,xgboost,600,5,0.06360039272230424,0.6,0.8,5.0,0.23650068601864976,9.04016619999311,False
22,xgboost,600,7,0.01931752132583908,0.8,0.6,1.0,0.22764603867230238,14.555372100003297,False
23,xgboost,400,5,0.01281202683224047,1.0,0.8,1.0,0.22090536887870021,6.977790300006745,False
24,xgboost,600,5,0.10899272116649625,0.8,0.6,5.0,0.23774088943582408,7.905869200010784,False
25,xgboost,400,5,0.10799743072226171,1.0,0.6,20.0,0.26131415747396874,5.072168800019426,False
26,xgboost,600,7,0.0760433261794055,1.0,0.8,5.0,0.29803436735317723,12.316607499989914,False
27,xgboost,200,5,0.012551908012962186,0.8,1.0,20.0,0.13808365630919894,3.8413138999894727,False
28,xgboost,400,3,0.01648734170950757,0.8,0.6,20.0,0.1774133768632237,5.1054250999877695,False
29,xgboost,600,3,0.050733340929487065,1.0,1.0,20.0,0.17822124525445737,5.824887499999022,False
