trial,model,n_estimators,max_depth,min_samples_leaf,max_features,val_pr_auc,seconds,is_default
0,random_forest,300,,1,sqrt,0.12514078326347006,7.096684499992989,True
1,random_forest,300,6.0,5,0.3,0.10206195594016364,27.75697930000024,False
2,random_forest,300,16.0,1,sqrt,0.09102190235995672,7.481859899999108,False
3,random_forest,300,6.0,1,0.3,0.10322101906231572,29.75647000002209,False
4,random_forest,100,16.0,5,sqrt,0.09697842983749203,2.6206443999835756,False
5,random_forest,200,10.0,5,0.1,0.08661923513812142,7.673474000010174,False
6,random_forest,300,,50,sqrt,0.1425297114411869,7.412472900003195,False
7,random_forest,200,,1,sqrt,0.12299700219499576,5.4438327999960165,False
8,random_forest,200,16.0,20,0.3,0.10739449905700858,23.307986500003608,False
9,random_forest,100,,50,sqrt,0.12239968917112487,2.6562296000192873,False
10,random_forest,100,10.0,20,sqrt,0.09602594005586988,2.628391100006411,False
11,random_forest,100,16.0,50,0.3,0.11547261726512219,11.50602689999505,False
12,random_forest,300,10.0,5,0.3,0.12896226586699966,34.60502319998341,False
13,random_forest,100,10.0,1,sqrt,0.08486048439382951,2.715129499993054,False
14,random_forest,100,,1,0.1,0.0857425227124641,4.380455800011987,False
15,random_forest,300,10.0,20,sqrt,0.10620394955009844,7.829351699998369,False
16,random_forest,200,6.0,50,sqrt,0.09354305306569119,4.701930499984883,False
17,random_forest,300,,1,0.1,0.10416989021261754,12.518857899995055,False
18,random_forest,300,6.0,20,sqrt,0.09018214818454832,6.9291532000061125,False
19,random_forest,300,16.0,20,0.1,0.10884267561241881,11.658691200020257,False
20,random_forest,300,10.0,5,0.1,0.09711933754550513,11.887226199993165,False
21,random_forest,200,,5,0.1,0.14128110112044803,8.274833000003127,False
22,random_forest,100,10.0,1,0.1,0.08355619929827174,4.15478539999458,False
23,random_forest,300,,5,sqrt,0.1420152423528127,8.238850800000364,False
24,random_forest,200,16.0,1,0.1,0.10265650269163872,8.328227400023025,False
25,random_forest,300,16.0,5,sqrt,0.09774257957648866,7.953111899987562,False
26,random_forest,200,10.0,20,sqrt,0.09913412910762419,5.3925523000070825,False
27,random_forest,200,6.0,50,0.3,0.10535318509031374,21.094806600012816,False
28,random_forest,300,,20,0.3,0.15740170205417423,35.7322713000176,False
29,random_forest,100,6.0,50,0.1,0.09806538153889012,3.670442800008459,False
