arch,horizon,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,recall_mean,recall_std,specificity_mean,specificity_std,precision_mean,precision_std,accuracy_mean,accuracy_std,cost_1to1_mean,cost_1to1_std,cost_1to10_mean,cost_1to10_std,cost_1to20_mean,cost_1to20_std,cost_1to50_mean,cost_1to50_std,n_seeds,n_params,epochs_mean,seconds_total
bilstm,1,0.705897499689016,0.07030143898615175,0.059115620257619385,0.027230832999143615,0.09042520304657835,0.03352253992723669,0.07999999999999999,0.04314059701848262,0.9986316706057968,0.0016265085088211244,0.18589698437156063,0.16043715508941278,0.9969207847032531,0.0015556513356527228,0.003079215296746958,0.0015556513356527412,0.018500124161907126,0.0010297300978022342,0.035634467345418426,0.0008809700736477764,0.08703749689595233,0.0027694820631915243,5,52801,19.6,112.1136748000281
cnn_lstm_attn,1,0.7616673922958908,0.06734600311326668,0.03977347720238853,0.021107754810665923,0.06066647950213241,0.036117579296602066,0.07333333333333333,0.06078194176270156,0.9978417713645976,0.0023599563919048474,0.10074644981187038,0.09811331839746021,0.9961199404022846,0.002255726632607928,0.0038800595977154214,0.002255726632607917,0.019412714179289796,0.001448562973717947,0.03667121926992799,0.001100427587212339,0.08844673454184257,0.0037318089669416406,5,31073,23.4,417.98667160002515
lstm,1,0.8329006509930755,0.03029474371816683,0.06493962462543863,0.013792001658755437,0.10242375183995955,0.01833899336809997,0.09333333333333334,0.03456073558887953,0.9986627690011195,0.001053909889465759,0.15018759018759018,0.05994202635699309,0.9969766575614601,0.0009946523508067998,0.003023342438539856,0.000994652350806819,0.018220759870871617,0.0005539659888743086,0.03510677924012913,0.0005794684226035035,0.08576483734790166,0.002322545467087202,5,37409,16.4,261.05315699998755
transformer,1,0.8135251586018161,0.029413633335180368,0.0774092670320006,0.02957830295205681,0.12021655433393694,0.030782733174963495,0.10333333333333332,0.0320589734361189,0.9988058216196045,0.0007647929418554639,0.16708987529883051,0.07104392976678876,0.997138068040725,0.0007356658483214867,0.0028619319592748946,0.0007356658483214906,0.01789173081698535,0.0006987900082073622,0.034591507325552516,0.0010520844382575043,0.08469083685125403,0.002690835178344836,5,70977,31.0,1895.961373499973
