dataset,protocol,accuracy_mean,accuracy_std,pr_auc_mean,pr_auc_std,pr_auc_lift_mean,roc_auc_mean,roc_auc_std,recall_mean,test_positive_rate,n_seeds
UCI Polish year 1 (single snapshot),correct,0.962085308056872,0.003143720180431644,0.4938706003724106,0.018534627350418813,12.708133741290078,0.9305864242074373,0.004573870261692961,0.5853658536585366,0.03886255924170616,5
UCI Polish year 1 (single snapshot),inflated,0.9880873103958564,0.0017233910024197993,0.9989855911450753,0.00015904423652279167,1.9984149830755897,0.9991295621476969,0.00013422568642251366,0.9914149720347408,0.49988901220865706,5
UCI Polish year 1 (single snapshot),inflated_natural_test,0.9838002492756036,0.0026681736614669166,0.9553663898357382,0.021909425317025583,24.172331071411232,0.998178499771717,0.0007674206906492573,0.9605421896382698,0.03976629001550143,5
"UCI Taiwanese (6,819 firms, single snapshot)",correct,0.9360703812316716,0.006722873456128843,0.3191770221999726,0.0056607488361373704,9.894487688199153,0.9286103458830732,0.001621438581976377,0.5696969696969697,0.03225806451612903,5
"UCI Taiwanese (6,819 firms, single snapshot)",inflated,0.9796212121212122,0.0035066020639494453,0.9984701352919861,0.0003945651853530317,1.9969402705839723,0.9985288108356289,0.00038433775559594535,0.9953030303030304,0.5,5
"UCI Taiwanese (6,819 firms, single snapshot)",inflated_natural_test,0.964399964757018,0.004753620271102333,0.8765501446402748,0.030843710247248867,26.580823444640934,0.9939682170207809,0.0024272749942363973,0.9779650990831115,0.03310467591936174,5
