protocol,horizon,seed,arch,scored_on,n_test,test_positive_rate,threshold,accuracy,balanced_accuracy,f1,recall,specificity,precision,roc_auc,pr_auc,pr_auc_lift,n_synthetic,description
correct,1,3,lstm,real windows only,32216,0.001862428606903402,0.9903299808502197,0.9972373975664266,0.5161846415391633,0.043010752688172046,0.03333333333333333,0.9990359497449932,0.06060606060606061,0.7525412572044615,0.015951899132438736,8.565106374177438,0,inherited chronological split; SMOTE fitted and applied inside train only; threshold chosen on val
inflated,1,4,lstm,test set as the protocol leaves it,55761,0.4998654973906494,0.5,0.999139183300156,0.9991394148020654,0.9991396924400473,1.0,0.9982788296041308,0.9982808638659074,0.9998847672210643,0.9998112187029718,2.000160491016267,139150,random 80/20 split of all windows; SMOTE applied before splitting; accuracy at 0.5
inflated_natural_test,1,4,lstm,real windows only,27930,0.0015037593984962407,0.5,0.99828141783029,0.9991394148020654,0.6363636363636364,1.0,0.9982788296041308,0.4666666666666667,0.9998322371117121,0.8465766361808076,562.973463060237,139150,"random 80/20 split of all windows; SMOTE applied before splitting; accuracy at 0.5; scored only on the real (non-synthetic) test windows, at the natural base rate"
half_fixed,1,4,lstm,test set as the protocol leaves it,65568,0.5095778428501708,0.5,0.8451073694485115,0.8479304142633883,0.8217307354748113,0.7005566862205196,0.995304142306257,0.9935902878003227,0.9099655229444058,0.9379293714796358,1.8406007730509026,139150,"chronological split, but SMOTE applied before splitting, so synthetic positives cross the boundary"
half_fixed_natural_test,1,4,lstm,real windows only,32216,0.001862428606903402,0.5,0.9946610379935436,0.8226520711531284,0.312,0.65,0.995304142306257,0.20526315789473684,0.8296175933988472,0.42301025034622414,227.12830375256596,139150,"chronological split, but SMOTE applied before splitting, so synthetic positives cross the boundary; scored only on the real (non-synthetic) test windows, at the natural base rate"
correct,1,4,lstm,real windows only,32216,0.001862428606903402,0.993751585483551,0.9971132356592998,0.5078046606128457,0.021052631578947368,0.016666666666666666,0.9989426545590248,0.02857142857142857,0.7533042045030476,0.014039581432780031,7.538319257307358,0,inherited chronological split; SMOTE fitted and applied inside train only; threshold chosen on val
inflated,4,0,lstm,test set as the protocol leaves it,55278,0.49866131191432395,0.5,0.9973588045877203,0.9973632416836331,0.9973561261815942,0.9990204970070742,0.9957059863601919,0.9956972918248544,0.9997449126276319,0.999625009195954,2.004617132535242,136738,random 80/20 split of all windows; SMOTE applied before splitting; accuracy at 0.5
inflated_natural_test,4,0,lstm,real windows only,27982,0.009613322850403831,0.5,0.9957115288399685,0.9959942571206164,0.8170731707317074,0.9962825278810409,0.9957059863601919,0.6925064599483204,0.9996056230639144,0.947776218289367,98.58986669209318,136738,"random 80/20 split of all windows; SMOTE applied before splitting; accuracy at 0.5; scored only on the real (non-synthetic) test windows, at the natural base rate"
half_fixed,4,0,lstm,test set as the protocol leaves it,66235,0.5190911149694271,0.5,0.8800483128255454,0.883618177157153,0.8724248117282464,0.7901227386423129,0.9771136156719932,0.973866284280337,0.9668646012921726,0.9707816827854271,1.8701566156504206,136738,"chronological split, but SMOTE applied before splitting, so synthetic positives cross the boundary"
half_fixed_natural_test,4,0,lstm,real windows only,32216,0.011267693071765582,0.5,0.9738328780730072,0.8315320144475669,0.3713646532438479,0.6859504132231405,0.9771136156719932,0.254601226993865,0.9377937856574091,0.39039637552344925,34.647409459678904,136738,"chronological split, but SMOTE applied before splitting, so synthetic positives cross the boundary; scored only on the real (non-synthetic) test windows, at the natural base rate"
correct,4,0,lstm,real windows only,32216,0.011267693071765582,0.999832034111023,0.9860628259250062,0.5040969020999445,0.0175054704595186,0.011019283746556474,0.9971745204533325,0.0425531914893617,0.7806202805432221,0.03888248546761905,3.450793806679932,0,inherited chronological split; SMOTE fitted and applied inside train only; threshold chosen on val
