horizon,protocol,accuracy_mean,accuracy_std,pr_auc_mean,pr_auc_std,pr_auc_lift_mean,pr_auc_lift_std,roc_auc_mean,roc_auc_std,recall_mean,f1_mean,test_positive_rate,n_test,n_seeds
1,inflated,0.9992145047613924,0.000143132798473737,0.999848931405363,0.00011183374914907264,2.003199378492851,0.0024309148425080257,0.9999138166026025,5.7527484389369246e-05,0.9998920785668034,0.9992136555905653,0.49912662972328337,55761.0,5
1,inflated_natural_test,0.9985415427048917,0.0004072336802945448,0.8939370475847163,0.07115846119693504,540.608979083665,64.27869592467067,0.999886032642249,7.308894354887465e-05,1.0,0.6986467181868692,0.0016729112035917533,27976.0,5
1,half_fixed,0.8443804781944173,0.006469803591497993,0.9510871367281529,0.011424701425631734,1.8691527644761585,0.025113566708824364,0.9346645745479414,0.019947614301731864,0.6987576802480702,0.8203837669251172,0.5088411831759914,65469.8,5
1,half_fixed_natural_test,0.9945927489446238,0.003768728072479054,0.37924536053482216,0.12195323937953943,203.62947558316384,65.48075933085404,0.8724131318157315,0.0369540951359084,0.6366666666666667,0.34993275153536507,0.0018624286069034023,32216.0,5
1,correct,0.9973925999503352,0.00023228565847865614,0.02169684079696061,0.011435419230858874,11.649757051914717,6.140057765689158,0.7498553924617489,0.0323958628590981,0.03666666666666667,0.05041178660443237,0.0018624286069034023,32216.0,5
4,inflated,0.9974384022576792,0.0005879512504371348,0.9996413273098466,7.658995886172775e-05,2.003388238317105,0.0027334652968514423,0.9997683017023441,4.2479341916567356e-05,0.9994126710882201,0.9974389444377078,0.49897608451825326,55278.0,5
4,inflated_natural_test,0.9955105620444498,0.001193533563638903,0.9514825634702385,0.012272063116478969,94.16243765698474,5.881714592582652,0.9996397422435843,9.258251736105552e-05,0.9992565055762082,0.8207481652247018,0.010136385973027118,27979.2,5
4,half_fixed,0.8648936362550526,0.011083025917132215,0.9649030400188205,0.004782242907186284,1.8569699750168014,0.009902570049374167,0.9587407536181433,0.007703276617044573,0.7581028194062727,0.8534546748042049,0.5196126505963209,66307.0,5
4,half_fixed_natural_test,0.9768562205115471,0.0027949014906305056,0.3912501671156206,0.03524452905098292,34.72318287547337,3.1279276801831037,0.9264337492504955,0.010072588320293738,0.6644628099173554,0.39441132784871336,0.011267693071765582,32216.0,5
4,correct,0.9851067792401291,0.0006720101925527314,0.04096218754738603,0.006047270402316965,3.6353659339575444,0.5366910834188523,0.775776299856806,0.013597562644180097,0.03305785123966942,0.04644032155197863,0.011267693071765582,32216.0,5
