horizon,roc_auc_A,roc_auc_D,roc_auc_net_gap,roc_auc_total_abs_movement,roc_auc_gap_A_zdp->B_levels,roc_auc_share_A_zdp->B_levels,roc_auc_direction_A_zdp->B_levels,roc_auc_gap_B_levels->B_tensor,roc_auc_share_B_levels->B_tensor,roc_auc_direction_B_levels->B_tensor,roc_auc_gap_B_tensor->B_mlp_t0,roc_auc_share_B_tensor->B_mlp_t0,roc_auc_direction_B_tensor->B_mlp_t0,roc_auc_gap_B_mlp_t0->C_lstm,roc_auc_share_B_mlp_t0->C_lstm,roc_auc_direction_B_mlp_t0->C_lstm,roc_auc_gap_C_lstm->D_lstm,roc_auc_share_C_lstm->D_lstm,roc_auc_direction_C_lstm->D_lstm,pr_auc_A,pr_auc_D,pr_auc_net_gap,pr_auc_total_abs_movement,pr_auc_gap_A_zdp->B_levels,pr_auc_share_A_zdp->B_levels,pr_auc_direction_A_zdp->B_levels,pr_auc_gap_B_levels->B_tensor,pr_auc_share_B_levels->B_tensor,pr_auc_direction_B_levels->B_tensor,pr_auc_gap_B_tensor->B_mlp_t0,pr_auc_share_B_tensor->B_mlp_t0,pr_auc_direction_B_tensor->B_mlp_t0,pr_auc_gap_B_mlp_t0->C_lstm,pr_auc_share_B_mlp_t0->C_lstm,pr_auc_direction_B_mlp_t0->C_lstm,pr_auc_gap_C_lstm->D_lstm,pr_auc_share_C_lstm->D_lstm,pr_auc_direction_C_lstm->D_lstm,transformer_horizon,transformer_roc_auc_A,transformer_roc_auc_D,transformer_roc_auc_net_gap,transformer_roc_auc_total_abs_movement,transformer_roc_auc_gap_A_zdp->B_levels,transformer_roc_auc_share_A_zdp->B_levels,transformer_roc_auc_direction_A_zdp->B_levels,transformer_roc_auc_gap_B_levels->C_lstm,transformer_roc_auc_share_B_levels->C_lstm,transformer_roc_auc_direction_B_levels->C_lstm,transformer_roc_auc_gap_C_lstm->D_transformer,transformer_roc_auc_share_C_lstm->D_transformer,transformer_roc_auc_direction_C_lstm->D_transformer,transformer_pr_auc_A,transformer_pr_auc_D,transformer_pr_auc_net_gap,transformer_pr_auc_total_abs_movement,transformer_pr_auc_gap_A_zdp->B_levels,transformer_pr_auc_share_A_zdp->B_levels,transformer_pr_auc_direction_A_zdp->B_levels,transformer_pr_auc_gap_B_levels->C_lstm,transformer_pr_auc_share_B_levels->C_lstm,transformer_pr_auc_direction_B_levels->C_lstm,transformer_pr_auc_gap_C_lstm->D_transformer,transformer_pr_auc_share_C_lstm->D_transformer,transformer_pr_auc_direction_C_lstm->D_transformer
1,0.8450366961064808,0.8625020732263549,0.01746537711987406,0.11889901314425488,-0.01659721358377908,0.13959084390080193,degrades,-0.02254011692996627,0.18957362499400518,degrades,0.02832908321930583,0.23826171866485898,improves,0.03985311191275864,0.3351845474478971,improves,-0.011579487498445062,0.09738926499243677,degrades,0.006583322651360933,0.08465794680966367,0.07807462415830274,0.12411693528519177,0.001509575128745869,0.012162523391970785,improves,6.60817225574175e-05,0.0005324150359141329,improves,0.02461084716036318,0.19828758342939415,improves,0.07490927571008078,0.6035379099391774,improves,-0.023021155563444515,0.18547956820354344,degrades,1,0.8450366961064808,0.8376435709250736,-0.007393125181407223,0.09867728158560363,-0.01659721358377908,0.16819690730313455,degrades,0.0456420782020982,0.4625388688125057,improves,-0.036437989799726345,0.3692642238843597,degrades,0.006583322651360933,0.10108640796144011,0.09450308531007917,0.10768847413341533,0.001509575128745869,0.014017982341133883,improves,0.09958620459300138,0.9247619617083994,improves,-0.006592694411668071,0.06122005595046669,degrades
2,0.8298775715850464,0.8663170629815738,0.03643949139652747,0.12961890276405652,-0.025040650213892235,0.19318671644268878,degrades,-0.0015709264300228787,0.012119578213699387,degrades,0.083029197080292,0.6405639556402424,improves,-0.004339346169245584,0.033477726448158836,degrades,-0.01563878287060383,0.1206520232552106,degrades,0.015178449414873188,0.06827470848886817,0.053096259073994984,0.17070682592900088,0.0012138587131931104,0.007110780172891092,improves,0.0009925555009690466,0.005814386715747752,improves,0.03837456691177349,0.2247980811718329,improves,0.07132056137556228,0.4177956035877874,improves,-0.05880528342750295,0.3444811483517408,degrades,2,0.8298775715850464,0.8605565387418846,0.030678967156838266,0.1235588818052088,-0.025040650213892235,0.20266167715380387,degrades,0.07711892448102353,0.6241471544117881,improves,-0.02139930711029303,0.17319116843440804,degrades,0.015178449414873188,0.09962090443600853,0.08444245502113534,0.13936062998186052,0.0012138587131931104,0.00871019823425819,improves,0.11068768378830482,0.7942536123919084,improves,-0.02745908748036259,0.19703618937383335,degrades
3,0.8224357770780978,0.7756761701185284,-0.04675960695956938,0.24949678403959286,-0.031078309598775333,0.12456396870367471,degrades,-0.0009748981773014531,0.0039074578899050885,degrades,0.0857077520051609,0.3435224719832856,improves,0.01566083653485084,0.06276969298476252,improves,-0.11607498772350433,0.46523640843837205,degrades,0.023338811336589285,0.0383670711472654,0.015028259810676112,0.1958204864511786,0.0013002139417560114,0.006639825920768392,improves,0.00197372088276496,0.010079235929469731,improves,0.03886782745694063,0.19848703351388644,improves,0.06328261084946575,0.32316644696541075,improves,-0.09039611332025124,0.4616274576704646,degrades,3,0.8224357770780978,0.8681399664923886,0.045704189414290775,0.1550831913111298,-0.031078309598775333,0.200397666156003,degrades,0.10039369036271029,0.6473537816313003,improves,-0.02361119134964418,0.1522485522126967,degrades,0.023338811336589285,0.0901121010593102,0.06677328972272091,0.14407545653913378,0.0013002139417560114,0.009024534594501508,improves,0.10412415918917134,0.7227057383010209,improves,-0.038651083408206444,0.2682697271044776,degrades
4,0.8122455435995192,0.7684381567218349,-0.04380738687768426,0.25084939519429805,-0.03764599067738772,0.1500740739208425,degrades,-0.0014737984987684971,0.005875232418347873,degrades,0.09673808029464559,0.3856420710909671,improves,0.006782923863661305,0.027039825463432032,improves,-0.10820860185983494,0.4313687971064105,degrades,0.030493550660860586,0.04656798684403461,0.016074436183174026,0.16893576986757114,0.00104369296775483,0.006178046061961783,improves,0.002836082119703452,0.01678793142462759,improves,0.03987496690464334,0.23603625766112973,improves,0.04875036103327096,0.2885733499275281,improves,-0.07643066684219856,0.45242441492475277,degrades,4,0.8122455435995192,0.8509751969252003,0.038729653325681124,0.16536475799339567,-0.03764599067738772,0.22765425435382805,degrades,0.1020472056595384,0.6171037099913027,improves,-0.025671561656469555,0.15524203565486924,degrades,0.030493550660860586,0.07292686684674927,0.04243331618588869,0.14257688986485648,0.00104369296775483,0.007320211352233235,improves,0.09146141005761775,0.6414883235586829,improves,-0.05007178683948389,0.35119146508908383,degrades
