horizon,arch,treatment,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,recall_mean,recall_std,specificity_mean,specificity_std,precision_mean,precision_std,accuracy_mean,accuracy_std,cost_1to1_mean,cost_1to1_std,cost_1to10_mean,cost_1to10_std,cost_1to20_mean,cost_1to20_std,cost_1to50_mean,cost_1to50_std,n_seeds
1,bilstm,class_weight,0.705897499689016,0.07030143898615175,0.059115620257619385,0.027230832999143615,0.09042520304657835,0.03352253992723669,0.07999999999999999,0.04314059701848262,0.9986316706057968,0.0016265085088211244,0.18589698437156063,0.16043715508941278,0.9969207847032531,0.0015556513356527228,0.003079215296746958,0.0015556513356527412,0.018500124161907126,0.0010297300978022342,0.035634467345418426,0.0008809700736477764,0.08703749689595233,0.0027694820631915243,5
1,bilstm,cost_threshold_1to1,0.7476004478168926,0.07898440503799894,0.07229473993473953,0.014781448269095174,0.05574869732839373,0.032960976512956236,0.03,0.018257418583505537,0.9999502425674835,6.448700507939321e-05,0.5083333333333333,0.36846151615723577,0.9981437794884529,4.604046738949801e-05,0.0018562205115470573,4.604046738946894e-05,0.01811522224981376,0.00029659496363524296,0.03618077973677676,0.000634851742120469,0.09037745219766576,0.001653994361192646,5
1,bilstm,cost_threshold_1to10,0.7476004478168926,0.07898440503799894,0.07229473993473953,0.014781448269095174,0.11474382337921782,0.02000757016608055,0.11333333333333333,0.04772607021092118,0.9984139818385371,0.0013288879598968499,0.23000266276128345,0.18851343632806497,0.9967655823193444,0.0012451836094199244,0.0032344176806555747,0.001245183609419924,0.018096597963744722,0.0006176976887922887,0.034610131611621554,0.0007641255044134067,0.08415073255525204,0.0032667797658114937,5
1,bilstm,cost_threshold_1to20,0.7476004478168926,0.07898440503799894,0.07229473993473953,0.014781448269095174,0.09357064777418253,0.027016691797794812,0.15333333333333332,0.05190803834132479,0.9956400049757432,0.0029101020283230205,0.07230476323583468,0.028033723406505957,0.9940712689346908,0.002832007630483524,0.005928731065309163,0.002832007630483497,0.020120437049913086,0.002260356351125063,0.03588899925502856,0.001910616361029247,0.08319468587037497,0.0032387431772796624,5
1,bilstm,cost_threshold_1to50,0.7476004478168926,0.07898440503799894,0.07229473993473953,0.014781448269095174,0.04310042762024767,0.008329778747340661,0.2833333333333333,0.11843892002959912,0.9759858191317328,0.012743426502670713,0.024917383580735152,0.00862740107719482,0.974695803327539,0.012500593894194561,0.025304196672460887,0.01250059389419455,0.037316861186987835,0.010531494460822273,0.05066426620312888,0.008352582225396447,0.09070648125155203,0.00217121423230145,5
1,bilstm,focal,0.7442020670066758,0.05603632924352777,0.05819136397764,0.009349187932719844,0.11566374269005848,0.036712182150503786,0.10999999999999999,0.03836954811073779,0.9983953228013436,0.0012781780966515976,0.1452136752136752,0.07838729891856282,0.9967407499379191,0.0012291401709226826,0.003259250062080954,0.00122914017092273,0.018177303203377203,0.000958392000097577,0.034752917804817485,0.0011093659694952477,0.08447976160913831,0.002880131414388039,5
1,bilstm,none,0.7476004478168926,0.07898440503799894,0.07229473993473953,0.014781448269095174,0.10981009731147115,0.02481458929056534,0.09666666666666666,0.046248123085038687,0.9988244806567981,0.001037587136267767,0.2349576177162384,0.18396527870163765,0.9971442761360814,0.0009599991987951073,0.0028557238639185497,0.00095999919879514,0.017997268438043206,0.00048007486787139735,0.034821206853737276,0.0009339006034835738,0.08529302210081947,0.0034205422362125486,5
1,bilstm,smote,0.7621160384790812,0.03813651531824718,0.03627413250388009,0.010929682485185119,0.0896104280650051,0.018146508451800526,0.08666666666666667,0.027386127875258303,0.9984886179873118,0.0004667868102030357,0.09664718146533033,0.008563189472625597,0.9967904147007698,0.0004191039149756526,0.0032095852992301962,0.0004191039149756678,0.01851874844797616,0.00019210017937379886,0.03552892972436057,0.0006140211169860517,0.08655947355351377,0.0021258307966307718,5
1,cnn_lstm_attn,class_weight,0.7616673922958908,0.06734600311326668,0.03977347720238853,0.021107754810665923,0.06066647950213241,0.036117579296602066,0.07333333333333333,0.06078194176270156,0.9978417713645976,0.0023599563919048474,0.10074644981187038,0.09811331839746021,0.9961199404022846,0.002255726632607928,0.0038800595977154214,0.002255726632607917,0.019412714179289796,0.001448562973717947,0.03667121926992799,0.001100427587212339,0.08844673454184257,0.0037318089669416406,5
1,cnn_lstm_attn,cost_threshold_1to1,0.8352821142762366,0.03551634278824984,0.03958615420049534,0.006944065548115864,0.012903225806451613,0.017668469596940843,0.006666666666666666,0.009128709291752768,0.9999564622465481,2.7815250373216406e-05,0.2,0.27386127875258304,0.998106530916315,3.801666474394962e-05,0.0018934690836851255,3.8016664743965395e-05,0.01854358082940154,0.00018311250563387914,0.03704370499130867,0.00035227864313660504,0.09254407747703004,0.0008617856067858988,5
