threshold_rule,val_n_pos,val_roc_auc,val_pr_auc,n,n_pos,base_rate,roc_auc,pr_auc,brier,threshold,tn,fp,fn,tp,precision,recall,specificity,f1,balanced_accuracy,accuracy,alarm_rate,cost_1to1,cost_1to10,cost_1to20,cost_1to50,name,model,horizon,n_inputs,t0_only,aggregation,note
f1,37,0.9289973878333565,0.09275148936039175,32216,60,0.001862428606903402,0.8621428867603765,0.06649897763508529,0.032418232411146164,0.9385961294174194,32108,48,55,5,0.09433962264150944,0.08333333333333333,0.9985072770245056,0.08849557522123894,0.5409203051789194,0.9968028308914825,0.0016451452694313386,0.0031971691085175068,0.018562205115470572,0.035634467345418426,0.08685125403526198,decompB_xgb_t0,xgboost,1,5,True,single fit (deterministic given the seed),Altman's five ratios at t-0 only
f1,37,0.9392914806477549,0.24491415962300492,32216,60,0.001862428606903402,0.8682765269312103,0.16549567227461198,0.012936357408761978,0.8526804447174072,32065,91,46,14,0.13333333333333333,0.23333333333333334,0.9971700460256251,0.16969696969696968,0.6152516896794792,0.9957474546809039,0.0032592500620809537,0.004252545319096101,0.017103302706729575,0.031381922026322326,0.07421777998510057,decompC_xgb,xgboost,1,40,False,single fit (deterministic given the seed),Altman's five ratios across all eight quarters (40 inputs)
f1,71,0.8962371930519235,0.11866611859305469,32216,158,0.004904395331512292,0.8689790695819523,0.047755898378320956,0.0466805174946785,0.9713677763938904,32034,24,153,5,0.1724137931034483,0.03164556962025317,0.9992513569155905,0.053475935828877004,0.5154484632679218,0.994505835609635,0.0009001738266699777,0.005494164390365036,0.04823690091879811,0.09572883039483486,0.2382046188229451,decompB_xgb_t0,xgboost,2,5,True,single fit (deterministic given the seed),Altman's five ratios at t-0 only
f1,71,0.9062400203948382,0.2653374222580299,32216,158,0.004904395331512292,0.8667808189428813,0.14137589555453464,0.009474825114011765,0.6527056097984314,31929,129,128,30,0.18867924528301888,0.189873417721519,0.9959760434212989,0.18927444794952683,0.5929247305714089,0.9920225974670971,0.004935435808294015,0.007977402532902906,0.04373603178544822,0.08346784206605413,0.20266327290787187,decompC_xgb,xgboost,2,40,False,single fit (deterministic given the seed),Altman's five ratios across all eight quarters (40 inputs)
f1,92,0.8713701769970835,0.11873469765552672,32216,260,0.008070523963248075,0.858309562667899,0.05695290674786361,0.03218837454915047,0.8343618512153625,31739,217,231,29,0.11788617886178862,0.11153846153846154,0.9932094129427963,0.11462450592885376,0.5523739372406289,0.986093866401788,0.007635957288303948,0.013906133598212068,0.07843928482741495,0.15014278619319593,0.3652532902905389,decompB_xgb_t0,xgboost,3,5,True,single fit (deterministic given the seed),Altman's five ratios at t-0 only
f1,92,0.8930228830746539,0.28293356584837837,32216,260,0.008070523963248075,0.8598547762789219,0.12723480878287838,0.008753600530326366,0.543738603591919,31892,64,229,31,0.3263157894736842,0.11923076923076924,0.9979972462135436,0.17464788732394368,0.5586140077221564,0.9909051403029551,0.00294884529426372,0.009094859697044946,0.07306928234417681,0.14415197417432332,0.35740004966476285,decompC_xgb,xgboost,3,40,False,single fit (deterministic given the seed),Altman's five ratios across all eight quarters (40 inputs)
f1,108,0.8838348318901463,0.12240869978720305,32216,363,0.011267693071765582,0.8562936627183466,0.06481929739547801,0.06852342188358307,0.9310197234153748,31816,37,352,11,0.22916666666666666,0.030303030303030304,0.9988384139641479,0.0535279805352798,0.5145707221335891,0.9879252545319096,0.0014899428855227217,0.01207474546809039,0.11041097591259001,0.21967345418425627,0.547460888999255,decompB_xgb_t0,xgboost,4,5,True,single fit (deterministic given the seed),Altman's five ratios at t-0 only
f1,108,0.88723226023091,0.26831104161196123,32216,363,0.011267693071765582,0.8422574638886503,0.09835170842976175,0.016955852508544922,0.8877559900283813,31820,33,344,19,0.36538461538461536,0.05234159779614325,0.9989639908328886,0.09156626506024096,0.525652794314516,0.9882977402532903,0.001614104792649615,0.01170225974670971,0.10780357586292526,0.21458281599205364,0.5349205363794388,decompC_xgb,xgboost,4,40,False,single fit (deterministic given the seed),Altman's five ratios across all eight quarters (40 inputs)
