horizon,t0_29_pr_auc,t0_25_pr_auc,window_29_pr_auc,window_25_pr_auc,growth_worth_to_t0,growth_worth_to_t0_ci_low,growth_worth_to_t0_ci_high,growth_worth_to_window,growth_worth_to_window_ci_low,growth_worth_to_window_ci_high,window_gap_with_growth,window_gap_with_growth_ci_low,window_gap_with_growth_ci_high,window_gap_without_growth,window_gap_without_growth_ci_low,window_gap_without_growth_ci_high,gap_widens_without_growth,growth_worth_more_to_t0,supports_explanation
1,0.10420713465885639,0.10506874728887453,0.15946312635494841,0.14990945026129596,-0.0008616126300181326,-0.06487083957441589,0.06744571363498598,0.009553676093652458,-0.02997455689561713,0.04793507091331229,0.05525599169609202,-0.0252695665739742,0.13321541719239965,0.04484070297242143,-0.027594737601018153,0.11821516619560228,False,False,False
2,0.09381124333674976,0.0771939947068519,0.1249958726013317,0.14793696419874608,0.016617248629897857,-0.004497399374466621,0.034971086203471335,-0.02294109159741438,-0.05251196595794579,-0.0001519091796546435,0.031184629264581945,-0.004796391365421321,0.06745548664498015,0.07074296949189418,0.029337986881647737,0.1124502357760358,True,True,True
3,0.13229288952967097,0.08753094055612584,0.14008138092926042,0.1318245017737578,0.04476194897354513,0.014054416906093138,0.07317352548506167,0.008256879155502633,-0.018386409761994175,0.03001859259636181,0.007788491399589453,-0.02762025917067406,0.040087852481951625,0.04429356121763195,0.00756200377217687,0.08131655050209574,True,True,True
4,0.11510656441116354,0.0924579550678097,0.1510115455817815,0.13615851453021152,0.022648609343353845,0.0029928093641102393,0.04283802393847465,0.014853031051569987,-0.011187070400284198,0.03712296181414686,0.03590498117061797,-0.0024331292982918847,0.0749542312732668,0.043700559462401825,0.009926577846379602,0.08815387321556445,True,True,True
