family,time_step,step_index,mean_abs_shap,n_observed_cells,horizon
Liquidity,t-7,0,0.07307625993546207,6829,4
Liquidity,t-6,1,0.05647000594765595,6848,4
Liquidity,t-5,2,0.060122958087551207,6849,4
Liquidity,t-4,3,0.06173946976357869,6859,4
Liquidity,t-3,4,0.051938445453455405,6860,4
Liquidity,t-2,5,0.053630809506036915,6859,4
Liquidity,t-1,6,0.0762071935803763,6850,4
Liquidity,t-0,7,0.13968369374238285,6848,4
Profitability,t-7,0,0.024322168767233778,11014,4
Profitability,t-6,1,0.025769866232549954,11068,4
Profitability,t-5,2,0.01975023334399243,11081,4
Profitability,t-4,3,0.020080647237404436,11086,4
Profitability,t-3,4,0.022511952526239554,11088,4
Profitability,t-2,5,0.023244350849395894,11085,4
Profitability,t-1,6,0.035560483913475945,11082,4
Profitability,t-0,7,0.05064001830418191,11075,4
Leverage,t-7,0,0.04882980950976259,6953,4
Leverage,t-6,1,0.03897392609425952,7017,4
Leverage,t-5,2,0.039906902708119786,7011,4
Leverage,t-4,3,0.045087446622305606,6992,4
Leverage,t-3,4,0.057412341072240955,6957,4
Leverage,t-2,5,0.06581203368524184,6938,4
Leverage,t-1,6,0.08192414966554842,6936,4
Leverage,t-0,7,0.09643204776359281,6949,4
Efficiency,t-7,0,0.0742130544611603,7049,4
Efficiency,t-6,1,0.05574791688938539,7104,4
Efficiency,t-5,2,0.056254258802635924,7143,4
Efficiency,t-4,3,0.05868409581174333,7174,4
Efficiency,t-3,4,0.06440290528354944,7203,4
Efficiency,t-2,5,0.06240338163099809,7208,4
Efficiency,t-1,6,0.09321852465798096,7203,4
Efficiency,t-0,7,0.11757213507633242,7198,4
Growth,t-7,0,0.05427634706285905,6973,4
Growth,t-6,1,0.04431949800669062,7107,4
Growth,t-5,2,0.04681575656303428,7205,4
Growth,t-4,3,0.05135741628983188,7294,4
Growth,t-3,4,0.050305485215206405,7403,4
Growth,t-2,5,0.0475809010509848,7429,4
Growth,t-1,6,0.07705312461805873,7435,4
Growth,t-0,7,0.09751408050829685,7435,4
Cash flow,t-7,0,0.08377362562247502,6575,4
Cash flow,t-6,1,0.061124876010091464,6604,4
Cash flow,t-5,2,0.07494204204335839,6604,4
Cash flow,t-4,3,0.07024042140335816,6601,4
Cash flow,t-3,4,0.07524643520677714,6575,4
Cash flow,t-2,5,0.07994741164932115,6572,4
Cash flow,t-1,6,0.11536583611098128,6557,4
Cash flow,t-0,7,0.13587755898564494,6557,4
Distress flag,t-7,0,0.046647518826826655,1853,4
Distress flag,t-6,1,0.04006102168902709,1854,4
Distress flag,t-5,2,0.04924949402084926,1855,4
Distress flag,t-4,3,0.05450347705596663,1855,4
Distress flag,t-3,4,0.06351144928718946,1855,4
Distress flag,t-2,5,0.06537865228256201,1855,4
Distress flag,t-1,6,0.11330825056049995,1855,4
Distress flag,t-0,7,0.21376014663698956,1855,4
