horizon,train_only_roc_auc,train_only_pr_auc,train_plus_val_roc_auc,train_plus_val_pr_auc,published_roc_auc,published_pr_auc,roc_drop_train_only,roc_drop_train_plus_val,roc_drop_cluster_ci_low,roc_drop_cluster_ci_high,roc_drop_cluster_excludes_zero,roc_recovery_from_refitting_on_train_plus_val,recovery_cluster_ci_low,recovery_cluster_ci_high,recovery_share_of_drop,recovery_excludes_zero,shift_explains_drop,shift_verdict
1,0.8284394825227018,0.008092897780106802,0.8290998051167227,0.00819404849777968,0.8450366961064809,0.006583322651360933,-0.01659721358377908,-0.015936890989758257,-0.0653343222029841,0.024600228327318847,False,0.0006603225940208235,0.0002303133805588886,0.0010658124972711706,0.039785147710949216,True,False,"shift does not explain the drop (recovers 4.0% of it, 95% CI [+0.00023, +0.00107])"
2,0.804836921371154,0.0163923081280663,0.8048568614955016,0.016420922444001264,0.8298775715850464,0.015178449414873185,-0.025040650213892346,-0.025020710089544762,-0.06380100559787621,0.009545785191304189,False,1.9940124347583854e-05,-7.616235250413605e-05,0.00010529438855535755,0.0007963101667592177,False,False,"shift does not explain the drop (recovers 0.1% of it, 95% CI [-0.00008, +0.00011])"
3,0.7913574674793227,0.024639025278345297,0.7911829486698055,0.02463480702728396,0.8224357770780979,0.023338811336589285,-0.031078309598775222,-0.031252828408292355,-0.06884246743998884,0.004279858881588739,False,-0.0001745188095171324,-0.0003591893995735063,-4.11902690617111e-05,-0.005615453728667729,False,False,"shift does not explain the drop (recovers -0.6% of it, 95% CI [-0.00036, -0.00004])"
4,0.7745994664366845,0.031537243628615416,0.7746439199563353,0.03152570919560784,0.8122455435995191,0.03049355066086059,-0.037646077162834524,-0.03760162364318376,-0.07886861616047054,-0.0009242423951523446,True,4.4453519650766715e-05,-6.542720649362898e-05,0.0001597481269692752,0.0011808274062258134,False,False,"shift does not explain the drop (recovers 0.1% of it, 95% CI [-0.00007, +0.00016])"
