horizon,logreg_window_pr_auc,mlp_t0_pr_auc,lstm_window_pr_auc,mlp_t0_roc_auc,lstm_window_roc_auc,lstm_minus_mlp_pr_auc,pr_auc_cluster_ci_low,pr_auc_cluster_ci_high,time_axis_helps_beyond_nonlinearity,aggregation
1,0.024107534129593006,0.031700776444053023,0.08465794680966367,0.8436077248413981,0.8625020732263549,0.052957170365610644,0.005158869795716997,0.11358723576079127,True,both are 5-seed ensembles
2,0.03832037296835825,0.05200141660597255,0.06827470848886817,0.8779804563090159,0.8663170629815738,0.01627329188289562,-0.016938654789540875,0.05453440958465821,False,both are 5-seed ensembles
3,0.0518265996510701,0.06384560919091234,0.0383670711472654,0.8697950065956075,0.7756761701185284,-0.025478538043646942,-0.047760834581813544,-0.0030680402612167567,False,both are 5-seed ensembles
4,0.05951692935956542,0.06876988988446275,0.04656798684403461,0.865114097222961,0.7684381567218349,-0.022201903040428142,-0.04718872680108562,0.0007753160971995155,False,both are 5-seed ensembles
