model,horizon,roc_auc,pr_auc,threshold,precision,recall,specificity,f1,step,delong_roc_diff,delong_ci_low,delong_ci_high,delong_p,pr_auc_diff,pr_ci_low,pr_ci_high,pr_boot_p,mcnemar_b,mcnemar_c,mcnemar_p,mcnemar_test
A_zdp,3,0.8224357770780978,0.023338811336589285,2.0155725479125977,0.024868651488616462,0.8192307692307692,0.7386406308674427,0.04827195467422096,,,,,,,,,,,,,
B_levels,3,0.7913574674793225,0.024639025278345297,0.6218064427375793,0.031332217172925135,0.5038461538461538,0.8732632369508073,0.058995721684305336,A_zdp -> B_levels,-0.031078309598775333,-0.05605789454093619,-0.006098724656614478,0.014748931051287497,0.0013002139417560114,-0.0013514517159553688,0.004476551458873981,0.324,1056.0,5276.0,0.0,chi2 (continuity corrected)
C_lstm,3,0.8917511578420327,0.12876318446751664,0.8475046157836914,0.3023255813953488,0.1,0.9981224183251971,0.15028901734104047,B_levels -> C_lstm,0.10039369036271029,0.08052204325636143,0.12026533746905914,4.082442499021732e-23,0.10412415918917134,0.07144899524899545,0.14468671491138724,0.0,124.0,4009.0,0.0,chi2 (continuity corrected)
D_lstm,3,0.7756761701185284,0.0383670711472654,0.6003426313400269,0.14285714285714285,0.019230769230769232,0.9990612091625986,0.03389830508474577,C_lstm -> D_lstm,-0.11607498772350433,-0.14075587677269122,-0.09139409867431744,3.033387718969229e-20,-0.09039611332025124,-0.12642135192967613,-0.05840749802909427,0.0,51.0,60.0,0.44765733086275317,chi2 (continuity corrected)
