horizon,attention_model,shap_model,group,n_steps,spearman_rho,spearman_p,kendall_tau,kendall_p,attention_argmax,shap_argmax,agree_on_top_quarter
1,transformer,transformer,true_positive,8,0.7619047619047621,0.028004939153071805,0.6428571428571428,0.03115079365079365,t-0,t-0,True
1,transformer,transformer,all_positive,8,0.7619047619047621,0.028004939153071805,0.5714285714285714,0.06101190476190476,t-0,t-0,True
1,cnn_lstm_attn,transformer,true_positive,8,0.4879500364742666,0.21994381924181858,0.3857583749052298,0.2016429225591495,t-1,t-0,False
1,cnn_lstm_attn,transformer,all_positive,8,0.4879500364742666,0.21994381924181858,0.3857583749052298,0.2016429225591495,t-1,t-0,False
4,transformer,transformer,true_positive,8,0.880952380952381,0.0038503204637324005,0.7142857142857142,0.014136904761904762,t-0,t-0,True
4,transformer,transformer,all_positive,8,0.7619047619047621,0.028004939153071805,0.5714285714285714,0.06101190476190476,t-0,t-0,True
4,cnn_lstm_attn,transformer,true_positive,8,0.6831300510639734,0.06183472987214337,0.6172133998483676,0.04105088656045887,t-1,t-0,False
4,cnn_lstm_attn,transformer,all_positive,8,0.7395161835775298,0.036003209284833214,0.6425396041156862,0.03130125999812172,t-1,t-0,False
