horizon,model,subset,n_test,n_pos,roc_auc,pr_auc,train_frac_complete,test_frac_complete
1,C_lstm,all-five-complete,30678,57,0.8749883264380539,0.11423884681276862,0.916689763488544,0.9522597467097095
1,D_lstm,all-five-complete,30678,57,0.8775762763428606,0.09797367127987432,0.916689763488544,0.9522597467097095
4,C_lstm,all-five-complete,30678,346,0.8803149766857566,0.13165083076833786,0.916689763488544,0.9522597467097095
4,D_lstm,all-five-complete,30678,346,0.7558002613085705,0.04508252038471161,0.916689763488544,0.9522597467097095
