architecture,lr,batch_size,dropout,weight_decay,best_val_pr_auc,spec_default_val_pr_auc,n_trials
lstm,0.0018879216212602324,64,0.3,0.0,0.3081125889397597,0.18220983907709348,30
bilstm,0.0032146534419750924,256,0.2,0.0,0.30831896605921943,0.1727758589806948,30
transformer,0.0013216203701503452,32,0.4,0.0001,0.18211580057709303,0.12012677864249541,30
cnn_lstm_attn,0.0028744152094248555,64,0.3,0.0,0.21346466150479632,0.20016968701947513,30
