frac_flagged,frac_captured,horizon,model,level
3.104047678172337e-05,0.0,1,altman_zdp,window
0.010119195430841818,0.016666666666666666,1,altman_zdp,window
0.02020735038490191,0.03333333333333333,1,altman_zdp,window
0.03032654581574373,0.05,1,altman_zdp,window
0.04041470076980382,0.11666666666666667,1,altman_zdp,window
0.05053389620064564,0.15,1,altman_zdp,window
0.06062205115470574,0.23333333333333334,1,altman_zdp,window
0.07071020610876583,0.3,1,altman_zdp,window
0.08082940153960765,0.36666666666666664,1,altman_zdp,window
0.09091755649366774,0.38333333333333336,1,altman_zdp,window
0.10103675192450956,0.4,1,altman_zdp,window
0.11112490687856966,0.4166666666666667,1,altman_zdp,window
0.12121306183262975,0.4666666666666667,1,altman_zdp,window
0.13133225726347156,0.5,1,altman_zdp,window
0.14142041221753165,0.5166666666666667,1,altman_zdp,window
0.1515396076483735,0.55,1,altman_zdp,window
0.16162776260243358,0.5666666666666667,1,altman_zdp,window
0.17171591755649368,0.5833333333333334,1,altman_zdp,window
0.18183511298733548,0.65,1,altman_zdp,window
0.19192326794139558,0.7333333333333333,1,altman_zdp,window
0.20204246337223739,0.7833333333333333,1,altman_zdp,window
0.21213061832629748,0.7833333333333333,1,altman_zdp,window
0.22221877328035758,0.8,1,altman_zdp,window
0.2323379687111994,0.8333333333333334,1,altman_zdp,window
0.2424261236652595,0.85,1,altman_zdp,window
0.25254531909610134,0.85,1,altman_zdp,window
0.2626334740501614,0.85,1,altman_zdp,window
0.2727216290042215,0.8833333333333333,1,altman_zdp,window
0.2828408244350633,0.9,1,altman_zdp,window
0.29292897938912343,0.9,1,altman_zdp,window
0.3030481748199652,0.9166666666666666,1,altman_zdp,window
0.31313632977402533,0.9166666666666666,1,altman_zdp,window
0.3232244847280854,0.9166666666666666,1,altman_zdp,window
0.33334368015892724,0.9333333333333333,1,altman_zdp,window
0.34343183511298736,0.9333333333333333,1,altman_zdp,window
0.35355103054382914,0.9333333333333333,1,altman_zdp,window
0.36363918549788926,0.9333333333333333,1,altman_zdp,window
0.37372734045194933,0.9333333333333333,1,altman_zdp,window
0.38384653588279116,0.9333333333333333,1,altman_zdp,window
0.39393469083685123,0.9333333333333333,1,altman_zdp,window
0.40405388626769306,0.95,1,altman_zdp,window
0.4141420412217532,0.9666666666666667,1,altman_zdp,window
0.42423019617581326,0.9666666666666667,1,altman_zdp,window
0.4343493916066551,0.9666666666666667,1,altman_zdp,window
0.44443754656071516,0.9666666666666667,1,altman_zdp,window
0.454556741991557,0.9666666666666667,1,altman_zdp,window
0.46464489694561706,0.9666666666666667,1,altman_zdp,window
0.4747330518996772,0.9666666666666667,1,altman_zdp,window
0.484852247330519,0.9666666666666667,1,altman_zdp,window
0.4949404022845791,0.9666666666666667,1,altman_zdp,window
0.5050595977154209,0.9666666666666667,1,altman_zdp,window
0.515147752669481,0.9666666666666667,1,altman_zdp,window
0.5252669481003228,0.9666666666666667,1,altman_zdp,window
0.5353551030543829,0.9666666666666667,1,altman_zdp,window
0.545443258008443,0.9666666666666667,1,altman_zdp,window
0.5555624534392848,0.9833333333333333,1,altman_zdp,window
0.5656506083933449,0.9833333333333333,1,altman_zdp,window
0.5757698038241867,0.9833333333333333,1,altman_zdp,window
0.5858579587782469,0.9833333333333333,1,altman_zdp,window
0.5959461137323069,0.9833333333333333,1,altman_zdp,window
0.6060653091631487,0.9833333333333333,1,altman_zdp,window
0.6161534641172088,0.9833333333333333,1,altman_zdp,window
0.6262726595480507,0.9833333333333333,1,altman_zdp,window
0.6363608145021108,0.9833333333333333,1,altman_zdp,window
0.6464489694561708,0.9833333333333333,1,altman_zdp,window
0.6565681648870126,0.9833333333333333,1,altman_zdp,window
0.6666563198410728,1.0,1,altman_zdp,window
0.6767755152719146,1.0,1,altman_zdp,window
0.6868636702259747,1.0,1,altman_zdp,window
0.6969518251800347,1.0,1,altman_zdp,window
0.7070710206108766,1.0,1,altman_zdp,window
0.7171591755649367,1.0,1,altman_zdp,window
0.7272783709957785,1.0,1,altman_zdp,window
0.7373665259498385,1.0,1,altman_zdp,window
0.7474546809038987,1.0,1,altman_zdp,window
0.7575738763347405,1.0,1,altman_zdp,window
0.7676620312888006,1.0,1,altman_zdp,window
0.7777812267196424,1.0,1,altman_zdp,window
0.7878693816737025,1.0,1,altman_zdp,window
0.7979575366277626,1.0,1,altman_zdp,window
0.8080767320586044,1.0,1,altman_zdp,window
0.8181648870126645,1.0,1,altman_zdp,window
0.8282840824435064,1.0,1,altman_zdp,window
0.8383722373975664,1.0,1,altman_zdp,window
0.8484603923516265,1.0,1,altman_zdp,window
0.8585795877824683,1.0,1,altman_zdp,window
0.8686677427365285,1.0,1,altman_zdp,window
0.8787869381673703,1.0,1,altman_zdp,window
0.8888750931214303,1.0,1,altman_zdp,window
0.8989632480754904,1.0,1,altman_zdp,window
0.9090824435063323,1.0,1,altman_zdp,window
0.9191705984603924,1.0,1,altman_zdp,window
0.9292897938912341,1.0,1,altman_zdp,window
0.9393779488452942,1.0,1,altman_zdp,window
0.9494661037993544,1.0,1,altman_zdp,window
0.9595852992301962,1.0,1,altman_zdp,window
0.9696734541842563,1.0,1,altman_zdp,window
0.979792649615098,1.0,1,altman_zdp,window
0.9898808045691582,1.0,1,altman_zdp,window
1.0,1.0,1,altman_zdp,window
0.0002948982601002654,0.0,1,altman_zdp,firm
0.01032143910350929,0.0,1,altman_zdp,firm
0.020347979946918313,0.016666666666666666,1,altman_zdp,firm
0.030374520790327337,0.03333333333333333,1,altman_zdp,firm
0.040401061633736364,0.03333333333333333,1,altman_zdp,firm
0.05072250073724565,0.03333333333333333,1,altman_zdp,firm
0.060749041580654674,0.05,1,altman_zdp,firm
0.0707755824240637,0.06666666666666667,1,altman_zdp,firm
0.08080212326747273,0.1,1,altman_zdp,firm
0.09112356237098201,0.13333333333333333,1,altman_zdp,firm
0.10115010321439104,0.15,1,altman_zdp,firm
0.11117664405780006,0.21666666666666667,1,altman_zdp,firm
0.12120318490120909,0.23333333333333334,1,altman_zdp,firm
0.13152462400471837,0.26666666666666666,1,altman_zdp,firm
0.1415511648481274,0.3333333333333333,1,altman_zdp,firm
0.15157770569153642,0.35,1,altman_zdp,firm
0.16160424653494546,0.36666666666666664,1,altman_zdp,firm
0.17192568563845473,0.36666666666666664,1,altman_zdp,firm
0.18195222648186377,0.4,1,altman_zdp,firm
0.19197876732527278,0.4166666666666667,1,altman_zdp,firm
0.2020053081686818,0.4166666666666667,1,altman_zdp,firm
0.21232674727219109,0.4666666666666667,1,altman_zdp,firm
0.22235328811560012,0.4666666666666667,1,altman_zdp,firm
0.23237982895900913,0.5166666666666667,1,altman_zdp,firm
0.24240636980241817,0.5333333333333333,1,altman_zdp,firm
0.25272780890592744,0.55,1,altman_zdp,firm
0.2627543497493365,0.5666666666666667,1,altman_zdp,firm
0.2727808905927455,0.6,1,altman_zdp,firm
0.2828074314361545,0.6166666666666667,1,altman_zdp,firm
0.2931288705396638,0.6666666666666666,1,altman_zdp,firm
0.30315541138307284,0.75,1,altman_zdp,firm
0.3131819522264819,0.7666666666666667,1,altman_zdp,firm
0.3232084930698909,0.8,1,altman_zdp,firm
0.33352993217340016,0.8,1,altman_zdp,firm
0.3435564730168092,0.8166666666666667,1,altman_zdp,firm
0.35358301386021823,0.8333333333333334,1,altman_zdp,firm
0.36360955470362727,0.85,1,altman_zdp,firm
0.37363609554703625,0.8666666666666667,1,altman_zdp,firm
0.38395753465054555,0.8666666666666667,1,altman_zdp,firm
0.3939840754939546,0.8666666666666667,1,altman_zdp,firm
0.4040106163373636,0.8666666666666667,1,altman_zdp,firm
0.4140371571807726,0.9,1,altman_zdp,firm
0.4243585962842819,0.9,1,altman_zdp,firm
0.43438513712769095,0.9,1,altman_zdp,firm
0.4444116779711,0.9166666666666666,1,altman_zdp,firm
0.454438218814509,0.9166666666666666,1,altman_zdp,firm
0.46475965791801827,0.9166666666666666,1,altman_zdp,firm
0.4747861987614273,0.9166666666666666,1,altman_zdp,firm
0.48481273960483634,0.9333333333333333,1,altman_zdp,firm
0.4948392804482454,0.9333333333333333,1,altman_zdp,firm
0.5051607195517547,0.9333333333333333,1,altman_zdp,firm
0.5151872603951637,0.9333333333333333,1,altman_zdp,firm
0.5252138012385726,0.9333333333333333,1,altman_zdp,firm
0.5352403420819817,0.9333333333333333,1,altman_zdp,firm
0.545561781185491,0.9333333333333333,1,altman_zdp,firm
0.5555883220289001,0.9333333333333333,1,altman_zdp,firm
0.565614862872309,0.9666666666666667,1,altman_zdp,firm
0.575641403715718,0.9666666666666667,1,altman_zdp,firm
0.5859628428192274,0.9666666666666667,1,altman_zdp,firm
0.5959893836626364,0.9666666666666667,1,altman_zdp,firm
0.6060159245060455,0.9666666666666667,1,altman_zdp,firm
0.6160424653494544,0.9666666666666667,1,altman_zdp,firm
0.6263639044529637,0.9666666666666667,1,altman_zdp,firm
0.6363904452963728,0.9666666666666667,1,altman_zdp,firm
0.6464169861397818,0.9833333333333333,1,altman_zdp,firm
0.6564435269831908,0.9833333333333333,1,altman_zdp,firm
0.6667649660867001,0.9833333333333333,1,altman_zdp,firm
0.6767915069301091,0.9833333333333333,1,altman_zdp,firm
0.6868180477735182,0.9833333333333333,1,altman_zdp,firm
0.6968445886169271,1.0,1,altman_zdp,firm
0.7068711294603361,1.0,1,altman_zdp,firm
0.7171925685638455,1.0,1,altman_zdp,firm
0.7272191094072545,1.0,1,altman_zdp,firm
0.7372456502506636,1.0,1,altman_zdp,firm
0.7472721910940725,1.0,1,altman_zdp,firm
0.7575936301975819,1.0,1,altman_zdp,firm
0.7676201710409909,1.0,1,altman_zdp,firm
0.7776467118843999,1.0,1,altman_zdp,firm
0.7876732527278089,1.0,1,altman_zdp,firm
0.7979946918313182,1.0,1,altman_zdp,firm
0.8080212326747273,1.0,1,altman_zdp,firm
0.8180477735181363,1.0,1,altman_zdp,firm
0.8280743143615452,1.0,1,altman_zdp,firm
0.8383957534650546,1.0,1,altman_zdp,firm
0.8484222943084636,1.0,1,altman_zdp,firm
0.8584488351518726,1.0,1,altman_zdp,firm
0.8684753759952816,1.0,1,altman_zdp,firm
0.8787968150987909,1.0,1,altman_zdp,firm
0.8888233559422,1.0,1,altman_zdp,firm
0.898849896785609,1.0,1,altman_zdp,firm
0.908876437629018,1.0,1,altman_zdp,firm
0.9191978767325273,1.0,1,altman_zdp,firm
0.9292244175759363,1.0,1,altman_zdp,firm
0.9392509584193454,1.0,1,altman_zdp,firm
0.9492774992627544,1.0,1,altman_zdp,firm
0.9595989383662636,1.0,1,altman_zdp,firm
