horizon,model,is_probability,base_rate,mean_predicted,brier,ece,n_bins_used,strategy
1,altman_zdp,False,0.001862428606903402,0.4986226950504349,0.2486376191036609,0.49676026644353144,10,quantile
1,xgboost,True,0.001862428606903402,0.001074106665328145,0.0018260912043098238,0.0007887137093919072,10,quantile
1,transformer,True,0.001862428606903402,0.003167988732457161,0.0019315467477662655,0.0019147105245902987,10,quantile
1,C_lstm,True,0.001862428606903402,0.009185086004436016,0.0035926205967040663,0.00748707340403222,10,quantile
2,altman_zdp,False,0.004904395331512292,0.4986226950504349,0.2486461101301678,0.49371829971892256,10,quantile
2,xgboost,True,0.004904395331512292,0.0027313786558806896,0.004934604317065083,0.0021759735184586214,10,quantile
2,transformer,True,0.004904395331512292,0.013945664279162884,0.0056949241389731235,0.009060430466077171,10,quantile
2,C_lstm,True,0.004904395331512292,0.03846542909741402,0.012067538086642557,0.033561033916046715,10,quantile
3,altman_zdp,False,0.008070523963248075,0.4986226950504349,0.24865495077152497,0.4905521710871868,10,quantile
3,xgboost,True,0.008070523963248075,0.007793060503900051,0.008542136779786137,0.004923161157511422,10,quantile
3,transformer,True,0.008070523963248075,0.025177786126732826,0.010973638728146811,0.017114661800157225,10,quantile
3,C_lstm,True,0.008070523963248075,0.04747537150979042,0.017651690974102668,0.039404845740522554,10,quantile
4,altman_zdp,False,0.011267693071765582,0.4986226950504349,0.24866388324693686,0.48735500197866927,10,quantile
4,xgboost,True,0.011267693071765582,0.009061690419912338,0.01144057148921653,0.005403454788455151,10,quantile
4,transformer,True,0.011267693071765582,0.04445091634988785,0.018779661137943583,0.033183221984122026,10,quantile
4,C_lstm,True,0.011267693071765582,0.07731898128986359,0.031964716036504144,0.06605128631789549,10,quantile
