arch,horizon,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,n_seeds,inputs,ratios_only_pr_auc_mean,ratios_only_pr_auc_std,ratios_only_roc_auc_mean,ratios_only_roc_auc_std,indicators_help_pr
transformer,1,0.05994819499422464,0.013501873688596563,0.7976482875150308,0.0458411109035456,5,29 ratios + 2 indicators,0.0774092670320006,0.02957830295205681,0.8135251586018161,0.029413633335180368,False
transformer,4,0.06620175013152452,0.004930880478971874,0.8402928864249762,0.014594519990690537,5,29 ratios + 2 indicators,0.069234630757592,0.01217928859378986,0.828973939253833,0.021757356676974846,False
