model,label,family,horizon,val_roc_auc,val_pr_auc,n,n_pos,base_rate,roc_auc,pr_auc,brier,threshold,tn,fp,fn,tp,precision,recall,specificity,f1,balanced_accuracy,accuracy,alarm_rate,cost_1to1,cost_1to10,cost_1to20,cost_1to50,tuned_val_pr_auc,seconds
altman_zdp,"Altman Z'' (1995, four-variable)",formula,3,0.7995054431631525,0.010902271088723462,32216,260,0.008070523963248075,0.8224357770780979,0.023338811336589285,1237562385009.3096,2.015572533462097,23604,8352,47,213,0.024868651488616462,0.8192307692307692,0.7386406308674427,0.04827195467422096,0.778935700049106,0.7392910355103054,0.26586168363546064,0.26070896448969455,0.27383908616836355,0.28842811025577353,0.33219518251800345,,
altman_zp,"Altman Z' (1983, five-variable)",formula,3,0.7607276197579699,0.009299949760490585,32216,260,0.008070523963248075,0.7792884687599295,0.02147063764994669,83540864661.78853,0.07759958098371844,23680,8276,63,197,0.023250324560368227,0.7576923076923077,0.7410189009888597,0.04511622581014542,0.7493556043405837,0.7411534641172088,0.26300595977154206,0.25884653588279116,0.2764464862180283,0.296001986590514,0.3546684877079712,,
ohlson_o,Ohlson O-score (1980),formula,3,0.8094688620897724,0.011924833562175507,32216,260,0.008070523963248075,0.8482289349779024,0.02633232806440599,242727.48123895793,-3.694593551717835,25224,6732,57,203,0.02927180966113915,0.7807692307692308,0.7893353360871198,0.05642807505211953,0.7850522834281752,0.7892662031288801,0.21526570648125154,0.21073379687111993,0.22665756146014404,0.24435063322572634,0.2974298485224733,,
zmijewski,Zmijewski (1984),formula,3,0.8188624040427742,0.013904826013625055,32216,260,0.008070523963248075,0.8544881423495768,0.02953257057934391,635769.5224493521,2.2859596014930856,27247,4709,83,177,0.036225951698731065,0.6807692307692308,0.8526411315558894,0.06879129420909444,0.76670518116256,0.8512540352619816,0.15166376955550037,0.14874596473801838,0.17193320089396574,0.19769679662279613,0.2749875838092873,,
logreg,logreg,ml,3,0.8699072483322717,0.030508870219386565,32216,260,0.008070523963248075,0.8282440639533205,0.0518265996510701,0.15003592875308747,0.9158650040626526,30866,1090,178,82,0.06996587030716724,0.3153846153846154,0.9658905995744148,0.11452513966480446,0.640637607479515,0.9606406754407748,0.036379438788179785,0.03935932455922523,0.08908616836354606,0.14433821703501365,0.31009436304941645,0.030508870219386565,1.2917646999994759
svm_rbf,svm_rbf,ml,3,0.8776775837216318,0.03845047330446269,32216,260,0.008070523963248075,0.8706700077991854,0.06088577210076468,0.18199966526811956,0.9980631316644077,31552,404,207,53,0.11597374179431072,0.20384615384615384,0.9873576167229942,0.14783821478382148,0.595601885284574,0.981034268686367,0.014185497889247578,0.018965731313632977,0.07679413955798362,0.14104792649615097,0.33380928731065307,0.03845047330446269,5.235722000012174
random_forest,random_forest,ml,3,0.9296861905400423,0.16578590315921765,32216,260,0.008070523963248075,0.8778095722965231,0.08927382521748539,0.00844003325364735,0.2795017176800022,31794,162,227,33,0.16923076923076924,0.12692307692307692,0.9949305294780323,0.14505494505494507,0.5609268032005545,0.9879252545319096,0.006052892972436057,0.01207474546809039,0.07549043953315122,0.14595232182766327,0.3573379687111994,0.16578590315921765,11.157833400007803
xgboost,xgboost,ml,3,0.9108603466192886,0.2902571874357027,32216,260,0.008070523963248075,0.8988960782614556,0.13552113540752309,0.008542136779786137,0.3406526446342468,31797,159,216,44,0.21674876847290642,0.16923076923076924,0.9950244085617724,0.1900647948164147,0.5821275888962708,0.9883598212068537,0.006301216786689844,0.011640178793146263,0.07198286565681648,0.13903029550533896,0.34017258505090636,0.2902571874357027,9.335557700018398
stacking,stacking,ml,3,0.9230954166806342,0.23050438048305183,32216,260,0.008070523963248075,0.895813594654188,0.11660684428856359,0.10432297477519659,0.9996851507094281,31807,149,224,36,0.1945945945945946,0.13846153846153847,0.9953373388409062,0.16179775280898878,0.5668994386512224,0.9884219021604171,0.005742488204618823,0.011578097839582815,0.07415569903153713,0.14368636702259746,0.3522783709957785,,70.33484989998396
