horizon,t0_pr_auc,window_pr_auc,t0_roc_auc,window_roc_auc,window_minus_t0_pr_auc,pr_auc_cluster_ci_low,pr_auc_cluster_ci_high,pr_auc_cluster_p,window_minus_t0_roc_auc,roc_auc_cluster_ci_low,roc_auc_cluster_ci_high,roc_auc_cluster_p,window_helps,n_clusters
1,0.10420713465885639,0.15946312635494841,0.9119189783140523,0.8683169548451299,0.05525599169609202,-0.0252695665739742,0.13321541719239965,0.167,-0.04360202346892239,-0.07960097158403007,-0.0123240900779409,0.005,False,3391
2,0.09381124333674976,0.1249958726013317,0.9070134747858116,0.9043894728778773,0.031184629264581945,-0.004796391365421321,0.06745548664498015,0.103,-0.0026240019079343258,-0.022140639643529244,0.019628442907074498,0.788,False,3391
3,0.13229288952967097,0.14008138092926042,0.9063430967580421,0.9031663729936356,0.007788491399589453,-0.02762025917067406,0.040087852481951625,0.749,-0.003176723764406586,-0.0202304125556613,0.013201817415596355,0.743,False,3391
4,0.11510656441116354,0.1510115455817815,0.8765821971956401,0.8949687004843792,0.03590498117061797,-0.0024331292982918847,0.0749542312732668,0.069,0.01838650328873903,0.0033883660986512715,0.03371167061068972,0.024,False,3391
