horizon,model,group_kind,group,n,n_positive,base_rate,n_firms,pr_auc,roc_auc,pr_auc_cluster_ci_low,pr_auc_cluster_ci_high,status
1,xgboost,SIC-2,59,703,4,0.005689900426742532,80,,,,,"too few (4 test positives, need 20)"
1,xgboost,SIC-2,70,247,0,0.0,23,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,72,144,0,0.0,17,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,73,4669,11,0.0023559648747055045,544,,,,,"too few (11 test positives, need 20)"
1,xgboost,SIC-2,75,84,0,0.0,10,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,76,12,0,0.0,1,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,78,100,0,0.0,14,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,79,340,0,0.0,39,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,80,791,4,0.0050568900126422255,86,,,,,"too few (4 test positives, need 20)"
1,xgboost,SIC-2,82,133,0,0.0,17,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,83,12,0,0.0,1,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,87,582,0,0.0,66,,,,,"too few (0 test positives, need 20)"
1,xgboost,SIC-2,89,21,0,0.0,2,,,,,"too few (0 test positives, need 20)"
1,transformer,SIC-2,1,190,1,0.005263157894736842,22,,,,,"too few (1 test positives, need 20)"
1,transformer,SIC-2,2,25,0,0.0,3,,,,,"too few (0 test positives, need 20)"
1,transformer,SIC-2,7,80,0,0.0,7,,,,,"too few (0 test positives, need 20)"
1,transformer,SIC-2,9,14,0,0.0,2,,,,,"too few (0 test positives, need 20)"
1,transformer,SIC-2,10,221,0,0.0,22,,,,,"too few (0 test positives, need 20)"
1,transformer,SIC-2,12,84,0,0.0,7,,,,,"too few (0 test positives, need 20)"
1,transformer,SIC-2,13,784,1,0.0012755102040816326,87,,,,,"too few (1 test positives, need 20)"
1,transformer,SIC-2,14,133,0,0.0,14,,,,,"too few (0 test positives, need 20)"
1,transformer,SIC-2,15,37,0,0.0,4,,,,,"too few (0 test positives, need 20)"
1,transformer,SIC-2,16,176,2,0.011363636363636364,18,,,,,"too few (2 test positives, need 20)"
1,transformer,SIC-2,17,142,0,0.0,15,,,,,"too few (0 test positives, need 20)"
1,transformer,SIC-2,20,997,1,0.0010030090270812437,99,,,,,"too few (1 test positives, need 20)"
1,transformer,SIC-2,21,82,0,0.0,9,,,,,"too few (0 test positives, need 20)"
1,transformer,SIC-2,22,85,0,0.0,8,,,,,"too few (0 test positives, need 20)"
